Num,ID,CODIGO_ID,ANO,DESAGREGAÇÃO,ESPVIDA,FECTOT,MORT1,MORT5,SOBRE40,SOBRE60,RAZDEP,T_ENV,E_ANOSESTUDO,T_ANALF11A14,T_ANALF15A17,T_ANALF15M,T_ANALF18A24,T_ANALF18M,T_ANALF25A29,T_ANALF25M,T_ATRASO_2_BASICO,T_ATRASO_2_FUND,T_FBBAS,T_FBBAS_tudo,T_FBFUND,T_FBFUND_tudo,T_FBMED,T_FBMED_tudo,T_FBSUPER,T_FLBAS,T_FLBAS_tudo,T_FLFUND,T_FLFUND_tudo,T_FLMED,T_FLMED_tudo,T_FLSUPER,T_FREQ0A5,T_FREQ15A17,T_FREQ18A24,T_FREQ25A29,T_FREQ5A6,T_FREQ6A14,T_FREQ6A17,T_FREQFUND1517,T_FREQFUND1824,T_FREQMED1824,T_FUND11A13,T_FUND11A13_tudo,T_FUND15A17,T_FUND18A24,T_FUND18M,T_FUND25M,T_MED18A20,T_MED18A24,T_MED18M,T_MED25M,T_SUPER25M,CORTE1,CORTE2,CORTE3,CORTE4,CORTE9,GINI,PIND,PINDCRI,PMPOB,PMPOBCRI,PPOB,PPOBCRI,PREN10RICOS,PREN20,PREN20RICOS,PREN40,PREN60,PREN80,PRENTRAB,R1040,R2040,RDPC,RDPC1,RDPC10,RDPC2,RDPC3,RDPC4,RDPC5,RDPCT,RIND,RMPOB,RPOB,THEIL,P_AGRO,P_COM,P_CONSTR,P_EXTR,P_SERV,P_SIUP,P_TRANSF,P_CPR,P_EMP,P_FORMAL,P_TRABCC,P_TRABPUB,P_TRABSC,P_FUND,P_MED,P_SUPER,P_REN0,P_REN1,P_REN2,P_REN3,P_REN5,RENOCUP,THEILtrab,T_ATIV1014,T_ATIV1517,T_ATIV1824,T_ATIV18M,T_ATIV2529,T_DES1014,T_DES1517,T_DES1824,T_DES18M,T_DES2529,T_AGUA,T_BANAGUA,T_DENS,T_LIXO,T_LUZ,T_AGUA_ESGOTO,T_PAREDE,T_CRIFUNDIN_TODOS,T_FORA0A5,T_FORA6A14,T_FUNDIN_TODOS,T_FUNDIN_TODOS_MMEIO,T_FUNDIN18MINF,T_OCUPDESLOC_1,T_RMAXIDOSO,T_SLUZ,T_VULNERA_NESTUDA_NTRAB_MMEIO,T_VULNERA_RMAXIDOSO,T_VULNERA_OCUPDESLOC_13,PEA1014,PEA1517,PEA18M,PESO1,PESO1114,PESO1113,PESO1214,PESO13,PESO15,PESO1517,PESO1524,PESO1618,PESO18,PESO1820,PESO1824,PESO1921,PESO25,PESO4,PESO5,PESO6,PESO610,PESO617,PESO65,PESORUR,PESOTOT,PESOURB,PESO80,PESO0a4,PESO5A9,PESO10a14,PESO15A19,PESO20A24,PESO25A29,PESO30A34,PESO35A39,PESO40A44,PESO45A49,PESO50A54,PESO55A59,PESO60A64,PESO65A69,PESO70A74,PESO75A79,PIA,PIA1014,PIA1517,PIA18M,POP,I_ESCOLARIDADE,I_FREQ_PROP,IDHM,IDHM_E,IDHM_L,IDHM_R
110020,2010110020,PORTO VELHO,2010,BRANCO,"77,32","1,98","13,09","10,60","97,18","90,39","42,97","3,87","9,46","0,96","1,14","3,21","0,59","3,38","0,95","4,12","19,05","14,31","111,72","111,72","119,06","119,06","93,26","93,26","49,54","91,18","91,18","93,19","93,19","48,35","48,35","25,58","36,14","85,50","38,31","17,51","87,41","95,38","92,57","32,27","3,34","8,74","88,35","84,51","57,81","81,17","70,41","67,55","52,96","61,03","54,50","52,77","19,79","315,00","523,60","845,00","1600,00","2666,67","0,58","1,50","2,47","4,37","7,19","14,79","24,61","47,12","3,03","62,64","9,52","19,80","37,36","88,01","19,79","13,17","1309,89","198,57","6171,59","425,22","672,74","1150,39","4107,69","1316,11","22,46","81,29","168,58","0,61","4,70","16,61","10,35","0,45","52,24","1,64","5,14","22,22","1,97","68,85","50,15","12,67","11,41","74,29","59,42","21,42","2,13","7,78","48,63","64,91","79,31","2241,28","0,54","8,10","25,44","65,48","73,32","78,27","19,79","21,24","11,31","5,00","4,93","80,71","79,51","29,00","97,16","98,62","12,74","1,97","18,29","63,86","4,62","14,04","5,15","20,35","0,60","3,59","1,38","34,74","51,39","11,64",820,1820,62888,2400,8413,6185,6362,6914,91788,6894,24817,6897,84894,7259,17923,7513,66971,2105,2130,2071,10229,25536,4810,7977,124355,116378,915,11795,10102,10670,11514,13303,12354,10991,9165,8616,7816,6181,4161,2877,1789,1289,817,103052,10133,7153,85767,123489,"0,704","0,716","0,798","0,712","0,872","0,819"
110020,2010110020,PORTO VELHO,2010,NEGRO,"73,17","2,16","16,07","18,69","96,25","87,94","43,08","3,40","8,84","1,36","1,24","6,21","1,49","6,65","2,51","8,09","23,03","18,09","111,29","111,29","119,00","119,00","88,98","88,98","26,89","89,76","89,76","91,91","91,91","39,46","39,46","11,86","31,54","80,53","28,67","13,18","78,78","94,25","90,72","38,20","5,64","9,79","87,24","84,88","48,17","70,79","58,72","55,34","37,22","44,59","40,44","39,27","8,98","228,89","380,00","582,00","975,00","1500,00","0,52","2,98","4,63","9,09","15,32","24,42","37,43","40,80","3,63","56,83","11,43","23,80","43,17","85,68","14,28","9,95","770,88","139,84","3145,11","300,78","476,83","746,46","2191,86","777,76","23,36","82,30","159,36","0,49","6,83","14,93","13,93","0,59","48,17","1,94","4,91","21,41","0,82","63,94","50,20","10,38","15,25","63,35","45,59","9,79","2,51","12,00","62,99","79,15","90,00","1392,48","0,40","6,87","28,73","64,06","70,43","74,22","15,53","19,47","10,73","5,90","7,08","71,71","69,37","39,86","95,16","98,16","19,74","3,82","25,44","68,46","5,75","20,90","8,80","29,10","0,83","3,50","1,84","36,55","49,51","8,99",2069,5032,138481,4599,23791,17716,17959,14143,216261,17750,61704,17520,198511,17972,43954,18487,154557,4765,5094,4928,27046,68587,10023,28790,295082,266292,1727,22890,25900,30031,29468,32236,30833,27056,22365,19725,16530,12893,9137,5995,3965,2599,1732,244241,30110,17512,196619,289521,"0,587","0,629","0,713","0,615","0,803","0,734"
120040,2010120040,RIO BRANCO,2010,BRANCO,"74,00","1,97","17,83","13,65","95,96","87,02","54,22","4,79","9,97","0,96","2,07","6,55","1,95","6,92","2,21","8,27","12,35","11,05","110,65","110,65","109,43","109,43","114,45","114,45","48,80","91,09","91,09","92,33","92,33","57,23","57,23","24,09","29,38","81,20","39,25","19,05","90,82","95,60","92,10","20,58","3,31","11,10","89,41","85,34","69,56","83,02","69,75","66,14","50,80","59,06","52,71","50,98","20,65","207,33","377,33","648,75","1300,00","2320,00","0,61","3,05","5,34","9,23","15,77","26,54","40,30","49,40","2,49","65,67","7,94","17,22","34,33","83,63","24,89","16,55","1068,84","133,29","5279,85","290,94","496,04","914,13","3510,08","1076,23","28,53","83,66","159,67","0,70","3,15","19,48","6,05","0,12","58,38","1,05","4,10","19,13","2,12","63,86","49,91","8,77","18,55","75,71","59,23","23,10","1,94","11,15","57,16","70,04","82,37","1918,91","0,58","6,41","22,45","63,19","70,31","75,35","23,86","40,29","14,64","6,87","9,75","73,64","69,28","31,66","97,95","99,59","12,94","3,65","18,04","70,62","4,40","13,73","7,52","22,79","0,60","5,60","0,41","34,49","69,04","5,96",544,1041,39048,2119,6569,4856,4937,5869,61108,5049,16960,5008,56059,5145,11911,5139,44148,1781,1717,1692,8305,19923,4203,4569,87761,83192,1006,10062,8255,8336,8421,8539,8440,7629,6104,5301,4298,3583,2695,1895,1396,1069,732,68661,8488,4636,55536,85108,"0,698","0,751","0,778","0,733","0,817","0,787"
120040,2010120040,RIO BRANCO,2010,NEGRO,"72,64","2,45","21,13","24,06","95,08","86,21","49,19","4,14","9,67","2,35","1,62","9,73","2,56","10,54","3,26","12,74","15,26","13,64","109,79","109,79","112,86","112,86","100,94","100,94","32,61","90,28","90,28","92,24","92,24","51,94","51,94","12,19","31,84","81,74","30,28","17,77","83,30","94,88","91,49","25,87","4,59","12,66","87,32","85,37","62,91","74,55","57,58","52,90","39,24","45,96","39,80","38,10","10,26","162,40","271,40","436,40","758,57","1250,00","0,57","5,44","8,14","16,05","25,25","38,07","53,94","46,26","3,01","61,34","9,79","20,72","38,66","78,43","18,90","12,53","634,42","95,62","2935,01","214,92","346,87","568,76","1945,26","644,37","27,37","81,98","149,88","0,58","5,91","16,35","10,47","0,07","54,17","1,10","4,57","19,81","1,05","57,50","47,76","6,67","22,06","63,06","45,93","12,02","3,18","16,17","70,02","81,94","91,51","1191,98","0,41","6,34","21,25","62,52","67,58","73,50","33,97","36,72","20,76","9,40","10,66","66,54","59,79","42,12","97,23","99,24","20,31","6,14","27,01","68,16","5,12","22,09","12,84","32,68","0,80","4,57","0,76","36,34","63,82","5,41",1675,3342,105710,3752,21145,16010,15780,12050,171076,15026,49073,14617,156050,14409,34047,14444,122003,4377,4471,4419,24033,60204,9947,22477,240383,217906,2014,19658,23089,26560,24511,24562,24379,21747,17477,15080,11543,9432,7291,5107,3724,2529,1680,198554,26413,15725,156416,239934,"0,576","0,682","0,711","0,645","0,794","0,703"
130260,2010130260,MANAUS,2010,BRANCO,"75,00","1,90","13,04","13,92","97,28","89,70","50,38","4,48","10,06","2,40","1,30","2,94","1,13","3,08","0,91","3,59","15,82","11,36","119,38","119,38","120,03","120,03","117,56","117,56","55,07","91,31","91,31","91,82","91,82","49,24","49,24","22,85","34,38","85,32","43,82","24,09","88,45","95,01","92,46","32,46","5,31","14,44","91,18","88,27","57,69","80,61","75,03","73,58","47,18","56,12","58,40","59,00","18,41","218,40","374,80","625,00","1310,00","2333,33","0,66","2,50","4,11","9,24","15,60","25,68","38,33","55,17","2,30","69,71","7,21","15,33","30,29","76,07","30,62","19,35","1197,13","137,93","6605,08","293,50","486,45","895,15","4173,39","1198,75","37,60","89,19","160,97","0,82","0,89","18,74","4,86","0,44","51,01","0,71","15,11","19,53","2,33","65,64","51,64","8,94","16,43","79,38","64,90","20,20","1,79","10,14","57,05","70,33","82,20","2119,39","0,64","6,08","22,12","62,94","69,77","77,13","27,87","34,91","18,80","9,18","11,03","88,83","86,52","41,89","98,85","99,73","4,81","1,77","13,53","65,62","4,99","10,03","5,27","18,98","2,37","5,29","0,27","32,36","50,43","23,41",2719,6160,217920,10615,34268,25359,25804,29532,340109,26876,91041,26664,313233,26214,64165,26326,249068,9485,9487,8819,43733,104877,21459,1297,479191,477894,4814,51594,43891,43597,44117,46924,47822,42824,35998,30364,25042,20043,14800,10716,7397,5484,3764,384899,44694,27849,312356,474160,"0,750","0,711","0,786","0,724","0,833","0,805"
130260,2010130260,MANAUS,2010,NEGRO,"74,32","2,45","14,29","15,26","96,40","88,89","46,43","3,66","9,32","2,61","1,24","4,28","1,20","4,56","1,52","5,46","20,91","14,86","120,55","120,55","123,57","123,57","111,70","111,70","34,14","90,31","90,31","91,94","91,94","41,54","41,54","12,94","33,59","83,09","36,14","19,27","84,43","93,92","91,17","38,79","6,61","15,25","87,45","85,12","49,20","74,33","65,36","62,98","35,48","45,61","46,36","46,55","8,24","170,00","279,57","436,67","749,33","1200,00","0,56","4,20","6,88","14,24","22,45","36,38","50,56","46,10","3,37","61,00","10,40","21,39","39,00","83,22","17,72","11,64","641,10","108,10","2955,17","225,35","352,12","564,73","1939,89","643,62","35,80","87,71","156,53","0,58","1,42","17,90","8,82","0,32","46,22","0,87","16,83","20,89","0,91","59,67","50,50","6,40","19,78","70,57","52,82","9,48","2,22","14,41","70,81","83,80","92,31","1198,77","0,39","6,14","23,03","63,06","68,14","74,09","27,83","32,79","21,08","11,23","13,28","86,00","82,55","53,32","98,11","99,59","7,03","3,33","20,19","66,41","6,08","15,42","9,22","27,42","3,60","5,26","0,41","33,68","52,82","23,43",8209,18070,583065,21034,106405,79631,79537,65568,934006,79446,259820,78601,854560,74387,180374,73511,674186,22849,23642,23265,124804,310655,47489,7586,1298099,1290513,8800,109242,120081,134770,128903,130917,134602,122600,100830,82899,66695,53595,38727,26749,17833,12653,8203,1067896,133698,78474,855724,1293769,"0,654","0,641","0,720","0,645","0,822","0,704"
140010,2010140010,BOA VISTA,2010,BRANCO,"75,11","2,01","14,10","14,80","97,99","89,75","49,10","3,94","10,14","1,44","0,52","4,13","0,97","4,44","1,32","5,36","13,59","10,72","110,57","110,57","111,62","111,62","107,46","107,46","65,11","93,79","93,79","94,28","94,28","59,92","59,92","27,90","38,64","88,31","41,19","24,87","91,71","97,36","95,07","23,84","2,14","10,09","93,37","90,60","69,33","88,36","75,87","72,58","60,62","67,88","61,55","59,89","21,71","242,50","456,67","772,86","1640,00","2763,33","0,60","3,11","4,72","8,67","13,91","22,60","34,26","46,34","2,37","63,73","7,94","17,90","36,27","86,72","23,36","16,03","1216,05","144,36","5635,57","338,22","605,83","1116,93","3867,99","1217,71","35,85","84,03","156,76","0,69","3,42","15,98","5,54","0,35","58,17","0,97","3,55","19,91","2,76","63,24","33,98","23,35","18,16","81,53","67,80","24,31","2,05","11,27","52,00","63,23","76,62","2206,35","0,60","5,68","24,46","65,99","72,65","78,84","6,25","17,44","17,39","6,42","5,72","93,77","92,54","33,27","98,43","99,88","2,23","1,74","11,52","61,36","2,64","9,29","4,79","19,31","0,28","5,54","0,12","32,66","58,90","3,15",378,958,33241,1550,5214,3859,3907,4355,49971,4114,13842,4115,45857,3982,9728,3997,36129,1360,1339,1304,6353,15681,2775,596,70368,69772,591,7491,6320,6586,6813,7029,7041,6211,5094,4475,3896,2952,2204,1481,995,730,459,56328,6656,3915,45757,69928,"0,759","0,788","0,806","0,778","0,835","0,807"
140010,2010140010,BOA VISTA,2010,NEGRO,"73,74","2,47","15,45","16,22","96,19","88,10","49,58","3,03","9,33","1,62","0,96","5,94","1,29","6,45","2,02","8,04","18,46","15,03","111,86","111,86","115,38","115,38","101,54","101,54","39,72","92,79","92,79","94,13","94,13","52,91","52,91","14,39","35,77","86,32","32,48","18,41","89,11","96,48","93,89","30,10","4,26","12,40","89,24","86,56","60,82","80,85","66,95","62,66","45,16","54,20","49,51","48,07","10,05","172,50","295,50","475,50","840,00","1404,00","0,55","5,55","8,27","14,76","22,06","34,76","48,16","42,87","3,13","59,40","10,20","21,54","40,60","85,67","16,81","11,65","651,30","101,93","2792,26","230,30","369,26","620,63","1935,40","653,20","33,02","81,50","149,58","0,56","4,05","16,61","9,08","0,44","54,21","0,88","3,85","20,10","1,30","55,25","33,83","18,44","24,26","73,07","56,70","11,47","2,70","16,37","68,71","79,68","88,85","1270,01","0,43","5,66","26,66","65,76","71,49","77,75","21,13","23,66","15,25","7,86","9,19","92,28","89,08","47,89","97,59","99,50","4,00","3,62","17,10","64,23","3,52","13,60","7,77","26,10","0,81","3,55","0,50","32,27","43,30","5,63",1282,3543,91696,3618,17893,13326,13572,11175,141476,13042,42996,13053,128434,12674,29954,12407,98480,3630,4046,3906,20803,51738,6135,3397,202439,199042,1169,18221,20196,22546,21592,21404,21426,18450,14407,11981,9789,7442,5248,3602,2321,1584,1061,164216,22662,13289,128265,200090,"0,670","0,711","0,737","0,697","0,812","0,707"
150080,2010150080,ANANINDEUA,2010,BRANCO,"74,68","1,51","15,50","16,14","96,94","89,35","48,33","4,39","9,95","2,35","2,30","2,89","0,98","2,94","1,11","3,42","17,97","12,89","119,49","119,49","120,07","120,07","117,65","117,65","33,22","94,35","94,35","94,50","94,50","47,73","47,73","14,98","43,51","88,51","36,26","17,11","92,99","97,00","94,96","38,24","5,07","15,33","87,41","85,04","54,55","83,85","72,64","69,89","43,97","53,44","50,41","49,66","9,79","198,00","306,60","490,00","875,00","1500,00","0,55","2,87","4,34","11,56","16,07","32,01","43,30","43,92","3,50","60,59","10,59","21,50","39,41","79,62","16,59","11,45","709,00","124,14","3113,74","251,21","386,69","634,88","2148,06","710,94","36,18","93,40","165,20","0,54","1,48","24,46","8,73","0,18","50,58","0,94","7,33","26,31","1,77","53,60","42,09","7,15","21,14","76,82","54,97","11,41","1,84","17,51","70,37","81,72","90,37","1305,68","0,47","4,55","21,19","59,19","67,67","76,54","2,88","31,35","21,21","9,57","12,81","83,99","82,69","38,37","98,76","99,90","7,18","1,31","13,31","56,49","3,00","10,92","6,07","22,36","3,39","7,37","0,10","30,35","63,13","22,12",495,1293,50325,2336,8341,6201,6275,6615,83050,6482,21531,6287,76568,6119,15049,6299,61519,2135,2137,2081,10737,25560,5072,79,115665,115586,1025,11400,10555,10660,10563,10968,11303,10427,9059,7548,6230,5148,3979,2753,1841,1288,918,91337,10868,6104,74366,112272,"0,726","0,697","0,750","0,707","0,828","0,721"
150080,2010150080,ANANINDEUA,2010,NEGRO,"73,36","1,74","20,63","19,08","95,23","87,77","41,48","3,95","9,56","2,39","1,38","3,58","1,02","3,77","1,35","4,47","24,13","18,34","121,46","121,46","124,09","124,09","114,25","114,25","23,46","93,52","93,52","94,85","94,85","44,93","44,93","9,84","40,52","88,18","33,25","15,21","89,81","96,65","94,38","40,79","5,47","16,95","83,84","81,98","50,87","75,60","65,14","62,47","35,00","43,07","41,99","41,72","6,52","169,17","261,25","398,89","666,43","1027,50","0,50","4,56","7,35","14,70","23,38","39,17","54,06","39,82","3,97","55,91","12,25","24,72","44,09","80,92","13,00","9,03","520,39","103,33","2072,30","215,52","324,30","504,03","1439,57","522,25","37,02","87,69","159,66","0,45","1,99","24,17","10,53","0,14","49,29","1,02","7,18","25,85","0,78","51,28","41,82","6,28","23,71","69,28","46,24","7,46","1,93","20,89","76,58","88,01","94,28","980,81","0,36","4,45","19,90","59,91","67,87","74,99","24,96","36,10","23,69","11,22","13,33","79,50","77,77","44,96","97,52","99,83","10,10","2,66","19,39","59,48","3,35","15,00","9,08","28,40","3,69","5,80","0,17","34,02","59,57","19,29",1514,4186,165702,5073,27027,20013,20415,15578,262614,20791,70056,20862,241823,20466,49265,20479,192558,5495,5605,5476,30913,78731,13883,1072,351900,350828,2407,25741,29431,34114,34373,35683,35994,32713,28408,24568,19760,16577,12154,8501,5577,3670,2229,299193,34018,21032,244143,353854,"0,651","0,649","0,706","0,650","0,806","0,671"
