Num,ID,CODIGO_ID,ANO,DESAGREGAÇÃO,ESPVIDA,FECTOT,MORT1,MORT5,SOBRE40,SOBRE60,RAZDEP,T_ENV,E_ANOSESTUDO,T_ANALF11A14,T_ANALF15A17,T_ANALF15M,T_ANALF18A24,T_ANALF18M,T_ANALF25A29,T_ANALF25M,T_ATRASO_2_BASICO,T_ATRASO_2_FUND,T_FBBAS,T_FBBAS_tudo,T_FBFUND,T_FBFUND_tudo,T_FBMED,T_FBMED_tudo,T_FBSUPER,T_FLBAS,T_FLBAS_tudo,T_FLFUND,T_FLFUND_tudo,T_FLMED,T_FLMED_tudo,T_FLSUPER,T_FREQ0A5,T_FREQ15A17,T_FREQ18A24,T_FREQ25A29,T_FREQ5A6,T_FREQ6A14,T_FREQ6A17,T_FREQFUND1517,T_FREQFUND1824,T_FREQMED1824,T_FUND11A13,T_FUND11A13_tudo,T_FUND15A17,T_FUND18A24,T_FUND18M,T_FUND25M,T_MED18A20,T_MED18A24,T_MED18M,T_MED25M,T_SUPER25M,CORTE1,CORTE2,CORTE3,CORTE4,CORTE9,GINI,PIND,PINDCRI,PMPOB,PMPOBCRI,PPOB,PPOBCRI,PREN10RICOS,PREN20,PREN20RICOS,PREN40,PREN60,PREN80,PRENTRAB,R1040,R2040,RDPC,RDPC1,RDPC10,RDPC2,RDPC3,RDPC4,RDPC5,RDPCT,RIND,RMPOB,RPOB,THEIL,P_AGRO,P_COM,P_CONSTR,P_EXTR,P_SERV,P_SIUP,P_TRANSF,P_CPR,P_EMP,P_FORMAL,P_TRABCC,P_TRABPUB,P_TRABSC,P_FUND,P_MED,P_SUPER,P_REN0,P_REN1,P_REN2,P_REN3,P_REN5,RENOCUP,THEILtrab,T_ATIV1014,T_ATIV1517,T_ATIV1824,T_ATIV18M,T_ATIV2529,T_DES1014,T_DES1517,T_DES1824,T_DES18M,T_DES2529,T_AGUA,T_BANAGUA,T_DENS,T_LIXO,T_LUZ,T_AGUA_ESGOTO,T_PAREDE,T_CRIFUNDIN_TODOS,T_FORA0A5,T_FORA6A14,T_FUNDIN_TODOS,T_FUNDIN_TODOS_MMEIO,T_FUNDIN18MINF,T_OCUPDESLOC_1,T_RMAXIDOSO,T_SLUZ,T_VULNERA_NESTUDA_NTRAB_MMEIO,T_VULNERA_RMAXIDOSO,T_VULNERA_OCUPDESLOC_13,PEA1014,PEA1517,PEA18M,PESO1,PESO1114,PESO1113,PESO1214,PESO13,PESO15,PESO1517,PESO1524,PESO1618,PESO18,PESO1820,PESO1824,PESO1921,PESO25,PESO4,PESO5,PESO6,PESO610,PESO617,PESO65,PESORUR,PESOTOT,PESOURB,PESO80,PESO0a4,PESO5A9,PESO10a14,PESO15A19,PESO20A24,PESO25A29,PESO30A34,PESO35A39,PESO40A44,PESO45A49,PESO50A54,PESO55A59,PESO60A64,PESO65A69,PESO70A74,PESO75A79,PIA,PIA1014,PIA1517,PIA18M,POP,I_ESCOLARIDADE,I_FREQ_PROP,IDHM,IDHM_E,IDHM_L,IDHM_R
11,2000000011,Rondônia,2000,BRANCO,"67,68","2,60","26,25","31,43","90,15","76,61","61,50","3,47","8,26","1,85","2,11","10,33","2,70","11,24","3,77","13,84","23,75","17,86","86,68","100,51","99,13","111,90","48,49","65,61","11,67","75,51","82,81","82,25","88,18","23,83","28,18","4,81","12,40","64,75","25,33","10,69","52,72","88,43","82,61","29,52","5,85","8,41","58,87","73,55","35,08","45,16","33,95","30,54","17,73","22,32","20,08","19,41","4,39","114,20","204,97","341,86","683,23","1206,39","0,62","10,51","14,45","24,92","33,49","47,21","57,55","49,64","2,01","66,38","7,51","16,90","33,62","88,61","26,45","17,47","578,93","58,16","2873,97","159,17","271,84","484,11","1898,06","599,95","31,36","73,57","129,62","0,68","30,39","15,22","4,60","0,25","38,37","0,54","8,69","35,43","3,59","41,82","27,26","6,33","18,94","40,49","25,62","5,21","8,55","42,50","70,57","78,41","89,09","1354,38","0,66","12,42","45,68","65,72","66,86","70,72","14,74","20,73","13,05","7,60","7,84","71,16","62,46","33,92","84,41","86,41","19,37",,"52,59","87,60","11,57","47,34","30,44","55,62",,"4,06","13,59","35,72","53,76",,7935,17314,228501,,,,,,384872,,,,,,,,266370,,,,,,20429,203230,588568,385338,2564,71852,67440,64415,63549,54953,50544,46845,41702,34732,25876,19450,14436,12356,8820,5725,3320,443537,63893,37903,341742,581165,"0,340","0,411","0,574","0,386","0,711","0,688"
11,2000000011,Rondônia,2000,NEGRO,"65,41","2,85","33,08","39,56","88,18","72,66","59,66","3,05","7,52","2,51","2,53","14,28","3,69","15,72","6,01","19,90","32,25","25,18","86,10","99,15","101,54","114,35","39,59","53,42","5,67","74,56","80,80","81,65","86,51","16,28","18,43","2,12","11,76","62,52","24,02","10,68","48,22","86,74","80,71","35,95","6,66","8,31","50,06","67,24","24,69","37,50","27,05","23,43","11,92","15,46","13,75","13,16","1,88","91,19","161,70","261,58","475,66","781,08","0,58","14,43","19,57","33,71","43,82","58,66","69,39","47,04","2,33","61,83","8,91","19,90","38,17","87,83","21,12","13,99","380,51","44,37","1789,81","125,12","209,07","347,62","1185,40","398,04","32,02","73,43","123,69","0,57","33,14","12,05","6,33","0,37","36,76","0,44","8,99","33,88","1,71","36,84","26,25","5,40","23,48","30,94","16,90","2,07","9,42","51,52","79,68","86,21","93,98","910,33","0,51","14,38","45,75","68,18","68,66","73,19","17,27","22,34","16,68","10,47","10,39","57,94","49,39","44,03","78,68","82,23","28,10",,"61,51","88,24","13,26","55,43","38,92","61,84",,"4,62","17,77","34,46","54,85",,13230,24518,299807,,,,,,500312,,,,,,,,331116,,,,,,23219,481832,761758,279929,3045,78882,89176,93379,89993,79203,65327,60102,53537,41043,31953,24149,17744,14042,9315,6829,4030,582278,92018,53594,436666,747098,"0,271","0,337","0,508","0,313","0,674","0,621"
11,2010000011,Rondônia,2010,BRANCO,"73,95","1,94","16,51","17,72","97,08","87,93","47,05","5,50","9,59","1,07","0,81","7,03","1,15","7,56","1,62","9,08","17,54","13,77","109,00","109,00","115,04","115,04","92,72","92,72","34,40","91,58","91,58","93,76","93,76","48,79","48,79","16,78","27,01","81,62","30,79","14,73","80,34","96,58","92,53","29,82","3,70","9,59","90,69","88,14","58,81","74,98","52,41","47,05","45,27","49,77","36,64","33,52","11,47","200,00","360,40","555,00","1000,00","1655,00","0,58","5,43","7,63","12,13","18,74","27,88","40,56","47,65","2,62","62,35","9,20","20,00","37,65","84,29","20,71","13,67","852,29","111,56","4061,47","280,65","460,22","752,04","2681,46","870,25","21,89","70,66","145,66","0,62","22,86","16,51","6,59","0,36","40,24","0,84","6,88","29,04","2,69","53,48","35,94","8,95","15,61","58,63","42,48","13,47","8,46","22,63","64,41","77,52","88,41","1486,26","0,54","12,96","35,97","69,02","70,32","77,70","10,39","15,27","9,93","4,48","4,82","88,57","85,32","20,85","95,64","97,93","8,41","2,82","29,44","72,99","3,42","26,61","12,53","38,00","0,38","5,13","2,07","33,33","75,02","4,36",6234,11331,261128,10033,39459,29247,29845,28887,405635,31374,102227,30737,374261,30203,70853,30273,303408,9419,9655,9266,47455,118288,30369,142646,551843,409197,5081,49639,46978,49591,51328,50899,49328,45412,41167,38311,34082,27631,21452,15656,11266,8462,5560,450955,48096,31497,371362,542875,"0,524","0,688","0,727","0,628","0,816","0,750"
11,2010000011,Rondônia,2010,NEGRO,"72,30","2,21","18,09","19,41","94,92","85,97","46,38","4,28","9,07","1,48","1,12","9,80","1,58","10,63","2,56","12,99","21,66","17,00","110,10","110,10","118,38","118,38","86,44","86,44","21,32","90,91","90,91","93,42","93,42","41,14","41,14","9,02","26,62","79,92","26,31","13,16","76,31","95,76","91,65","36,47","5,63","10,75","89,13","87,14","49,51","66,27","45,63","40,24","32,04","37,43","28,72","26,45","6,00","169,83","285,00","450,67","740,67","1091,00","0,52","6,52","9,20","15,72","23,80","35,89","49,99","40,59","3,20","56,16","11,13","23,88","43,84","82,67","14,58","10,08","569,40","91,15","2310,90","225,81","363,04","568,19","1597,55","580,69","25,40","74,65","146,44","0,49","22,29","14,49","9,59","0,62","38,72","1,10","7,06","26,28","1,03","50,68","37,90","7,81","19,99","51,00","33,65","6,88","7,69","25,77","73,98","86,06","93,97","1032,80","0,40","11,22","36,50","67,37","69,20","75,51","9,89","17,32","10,66","5,59","6,69","81,34","77,12","30,17","94,17","97,02","14,18","4,26","36,31","73,38","4,24","31,95","16,74","42,82","0,61","5,01","2,98","33,23","64,94","4,86",11700,22582,447749,14467,82484,61414,62458,45358,708664,62249,197698,60598,646415,57735,135449,57630,510966,16406,17115,17122,93042,237775,41774,257287,976188,718901,6654,74883,89226,103415,100919,96779,93459,84714,73087,65253,54894,43033,31987,22765,16466,11403,7251,813213,104311,61873,647029,969198,"0,456","0,617","0,670","0,558","0,788","0,685"
12,2000000012,Acre,2000,BRANCO,"67,75","3,02","27,37","30,75","90,68","76,58","76,65","3,86","7,23","13,61","12,22","21,76","14,99","22,96","18,22","25,89","32,30","26,01","89,36","102,52","97,62","108,71","63,27","82,98","8,18","72,93","78,30","76,50","80,56","24,49","28,37","4,16","11,95","68,98","33,73","16,18","54,26","79,30","76,82","35,40","8,20","12,89","45,74","62,80","30,65","45,30","38,08","35,42","16,38","21,35","22,72","23,23","6,03","62,95","137,20","260,19","544,63","979,95","0,68","19,56","26,64","37,82","48,24","57,38","68,19","53,46","1,03","72,56","4,94","12,56","27,44","82,53","43,31","27,52","497,56","25,56","2659,93","97,28","189,62","370,24","1690,05","529,07","30,90","65,29","107,69","0,82","20,61","14,80","4,11","0,03","51,62","0,70","6,69","27,83","2,68","46,68","34,84","7,56","19,82","48,03","31,79","7,83","7,29","45,56","72,24","79,98","89,87","1310,08","0,70","8,87","28,03","58,15","63,49","70,11","21,83","29,47","20,42","10,33","10,57","43,82","38,31","51,89","76,90","78,14","32,91",,"53,58","88,05","20,70","46,26","37,78","52,50",,"5,91","21,86","36,86","68,68",,1635,3097,56806,,,,,,101912,,,,,,,,66247,,,,,,6501,53238,168547,115311,1343,26802,21241,18593,18983,16682,13484,11679,9188,7856,6270,4645,3699,2925,2152,1952,1054,118943,18429,11048,89466,166574,"0,381","0,368","0,561","0,372","0,713","0,664"
12,2000000012,Acre,2000,NEGRO,"66,42","3,55","31,04","34,84","89,44","74,37","71,92","3,65","6,88","12,72","11,23","25,48","14,98","27,45","20,85","32,27","40,16","33,19","89,11","101,18","102,82","114,08","46,94","61,53","4,64","74,17","78,86","78,81","82,01","16,86","18,38","2,19","12,67","68,78","32,20","15,17","49,59","81,73","78,55","41,88","9,62","10,87","39,18","57,97","20,82","36,73","28,39","25,17","11,75","14,97","14,70","14,60","2,65","57,70","114,06","195,21","368,46","604,37","0,62","23,87","32,95","46,09","58,33","68,22","78,58","48,46","1,58","64,83","7,13","17,26","35,17","80,81","27,17","17,95","301,98","23,87","1463,24","83,83","152,88","270,51","966,41","322,64","32,53","66,03","105,23","0,62","26,03","11,22","6,40","0,01","46,79","0,63","7,09","28,47","1,22","38,76","30,28","6,12","24,39","33,56","19,39","3,23","9,62","57,47","82,92","89,07","95,32","771,21","0,49","10,96","33,66","60,72","64,64","71,57","21,50","26,38","20,58","11,43","12,71","32,68","26,97","59,47","73,64","76,12","39,28",,"65,16","87,33","18,27","56,93","47,44","61,95",,"6,62","23,88","32,50","67,88",,5156,9284,129752,,,,,,231787,,,,,,,,146817,,,,,,13674,251199,374992,123793,2553,47377,48243,47577,46426,38544,29882,25304,21212,17599,13891,10774,8160,6321,5056,3808,2257,275373,47062,27579,200731,369798,"0,284","0,303","0,493","0,297","0,690","0,583"
12,2010000012,Acre,2010,BRANCO,"72,76","2,45","21,08","22,84","96,11","85,86","64,19","4,76","9,22","4,39","3,48","12,79","4,16","13,71","6,92","16,45","18,36","16,09","107,96","107,96","110,81","110,81","98,70","98,70","35,60","89,03","89,03","91,14","91,14","48,62","48,62","16,56","28,39","77,99","35,55","17,82","84,41","93,83","90,11","26,06","5,27","12,63","83,10","80,35","58,96","72,43","57,79","53,61","39,83","46,46","41,88","40,58","15,07","127,50","254,60","439,00","896,00","1616,00","0,65","11,13","16,43","22,19","32,59","41,88","56,41","52,77","1,58","68,48","6,48","15,18","31,52","82,11","32,57","21,02","762,04","60,10","4021,22","186,80","331,44","622,64","2594,59","791,50","23,99","65,93","128,45","0,79","14,42","16,30","5,96","0,08","51,10","0,88","4,01","21,31","1,71","52,49","41,47","6,90","21,92","64,96","49,27","17,44","7,49","23,27","65,74","76,51","86,74","1527,19","0,60","11,27","25,14","59,81","66,68","72,15","10,55","26,03","14,11","6,52","8,78","63,50","56,46","38,88","94,49","93,37","21,29","6,27","31,85","71,61","6,17","25,68","18,17","35,76","0,71","6,09","6,63","33,67","72,83","4,78",2089,2547,68302,4669,14714,11020,11000,13053,114895,10836,33785,10481,104059,10108,22949,9915,81110,4017,3935,3848,18973,44523,8334,37555,174966,137411,1904,22449,18879,18743,17530,16255,15746,13920,11186,9503,7525,6259,4972,3665,2827,2102,1501,131091,18531,10129,102431,170214,"0,578","0,666","0,718","0,635","0,796","0,732"
12,2010000012,Acre,2010,NEGRO,"71,42","3,05","23,09","25,02","94,35","84,28","59,38","4,21","8,71","6,05","4,23","17,24","5,92","18,71","8,74","22,42","22,67","20,36","106,24","106,24","112,42","112,42","87,01","87,01","24,50","87,79","87,79","89,88","89,88","43,28","43,28","8,82","30,61","78,12","29,24","16,28","78,14","92,36","88,90","31,58","6,44","12,81","78,68","76,89","52,19","64,03","46,57","41,51","30,15","36,56","30,84","29,18","7,22","94,86","185,33","315,71","561,67","916,67","0,60","15,81","22,99","30,29","43,46","52,61","68,29","47,50","1,56","63,03","7,64","18,40","36,97","77,31","24,88","16,51","458,88","35,84","2179,79","139,35","246,96","426,05","1446,15","483,52","23,64","63,46","120,37","0,66","19,37","13,26","8,54","0,06","46,71","0,98","4,53","21,72","0,84","44,88","37,44","5,04","25,42","52,33","36,81","8,74","10,46","31,42","77,44","86,58","93,95","945,49","0,44","9,74","23,74","59,19","64,73","71,36","14,93","25,92","17,12","7,79","8,48","54,53","45,70","47,23","93,43","91,83","29,54","8,55","42,63","69,39","7,64","34,48","25,61","45,60","1,01","5,73","8,17","35,13","70,53","5,22",6345,8595,207153,9513,51579,39018,38428,30941,354011,35101,107312,33603,318910,31592,72211,30920,246699,11030,11581,11294,61239,147919,22236,147276,528785,381509,4332,50375,59169,65230,56171,51141,49100,43129,34993,29166,23032,19018,14944,11081,8434,5666,3804,421391,65167,36200,320024,528340,"0,466","0,598","0,652","0,550","0,774","0,651"
13,2000000013,Amazonas,2000,BRANCO,"67,42","2,52","34,39","42,02","89,11","76,11","69,95","3,48","7,04","10,61","7,84","14,17","8,90","14,99","11,27","17,24","38,57","31,56","94,34","108,49","105,88","119,65","60,27","77,09","13,17","74,92","83,89","76,67","85,29","24,53","30,53","5,75","14,60","74,92","34,76","13,70","52,66","79,55","78,37","43,85","11,44","13,22","41,47","66,44","29,04","49,46","45,13","43,53","19,10","25,87","30,03","31,57","6,34","55,88","130,14","254,10","584,85","1166,37","0,70","16,97","24,11","34,22","45,64","53,95","66,10","49,91","0,63","76,77","3,78","10,16","23,23","82,45","52,89","33,49","579,92","18,27","2894,50","91,19","185,06","378,94","1832,76","610,14","32,24","68,08","112,86","0,83","11,67","18,59","4,79","0,27","48,74","0,55","13,81","26,53","2,73","50,07","32,96","11,62","20,18","58,38","43,01","8,39","6,06","39,80","68,27","76,62","87,01","1488,92","0,67","6,69","26,94","64,09","66,52","74,29","33,19","44,27","30,16","17,62","17,82","67,85","58,86","58,03","84,81","90,20","19,05",,"41,79","85,40","20,45","33,39","27,54","42,79",,"6,13","9,80","34,00","50,99",,4797,12725,247399,,,,,,424832,,,,,,,,275980,,,,,,23717,92698,681719,589019,4305,104013,80367,72497,77941,70911,57999,48426,42971,33903,25725,18870,13380,10989,8366,6598,4448,490893,71746,47235,371912,673221,"0,451","0,356","0,572","0,385","0,707","0,688"
13,2000000013,Amazonas,2000,NEGRO,"66,17","3,70","39,33","48,01","88,11","74,06","72,81","3,21","6,38","11,27","8,18","17,10","9,58","18,32","12,65","21,72","45,94","38,23","92,31","100,02","106,34","114,40","47,79","54,83","5,49","73,55","77,88","76,09","79,92","15,10","16,48","2,00","12,21","70,71","32,07","11,79","46,03","78,41","76,57","49,91","13,75","12,32","32,92","53,60","18,65","38,00","32,61","30,52","10,92","16,41","18,59","19,44","2,08","42,30","97,33","167,88","325,35","585,63","0,65","28,73","37,83","51,60","63,40","72,11","81,98","51,16","1,03","68,95","5,74","14,62","31,05","82,73","35,65","23,08","286,34","14,82","1464,99","67,38","127,09","235,25","948,39","310,57","30,98","62,39","98,40","0,70","26,19","13,33","6,68","0,22","39,64","0,46","12,04","32,37","1,09","35,16","23,37","9,04","21,93","38,91","25,22","2,54","12,29","57,30","82,30","88,78","95,24","808,69","0,52","9,12","31,34","61,27","65,41","72,53","22,64","38,19","30,28","19,20","20,20","49,36","38,77","71,20","76,03","81,60","32,14",,"58,79","87,79","21,59","49,88","43,36","59,97",,"7,18","18,40","34,40","53,19",,22107,44501,681280,,,,,,1204359,,,,,,,,762686,,,,,,63212,1468301,1971980,503677,10554,256500,265255,245875,237683,203990,163927,133573,115093,92115,71784,51942,39896,31144,24759,17343,10556,1426015,242456,141996,1041563,1939350,"0,326","0,271","0,484","0,288","0,686","0,575"
