Num,ID,CODIGO_ID,ANO,DESAGREGAÇÃO,ESPVIDA,FECTOT,MORT1,MORT5,SOBRE40,SOBRE60,RAZDEP,T_ENV,E_ANOSESTUDO,T_ANALF11A14,T_ANALF15A17,T_ANALF15M,T_ANALF18A24,T_ANALF18M,T_ANALF25A29,T_ANALF25M,T_ATRASO_2_BASICO,T_ATRASO_2_FUND,T_FBBAS,T_FBBAS_tudo,T_FBFUND,T_FBFUND_tudo,T_FBMED,T_FBMED_tudo,T_FBSUPER,T_FLBAS,T_FLBAS_tudo,T_FLFUND,T_FLFUND_tudo,T_FLMED,T_FLMED_tudo,T_FLSUPER,T_FREQ0A5,T_FREQ15A17,T_FREQ18A24,T_FREQ25A29,T_FREQ5A6,T_FREQ6A14,T_FREQ6A17,T_FREQFUND1517,T_FREQFUND1824,T_FREQMED1824,T_FUND11A13,T_FUND11A13_tudo,T_FUND15A17,T_FUND18A24,T_FUND18M,T_FUND25M,T_MED18A20,T_MED18A24,T_MED18M,T_MED25M,T_SUPER25M,CORTE1,CORTE2,CORTE3,CORTE4,CORTE9,GINI,PIND,PINDCRI,PMPOB,PMPOBCRI,PPOB,PPOBCRI,PREN10RICOS,PREN20,PREN20RICOS,PREN40,PREN60,PREN80,PRENTRAB,R1040,R2040,RDPC,RDPC1,RDPC10,RDPC2,RDPC3,RDPC4,RDPC5,RDPCT,RIND,RMPOB,RPOB,THEIL,P_AGRO,P_COM,P_CONSTR,P_EXTR,P_SERV,P_SIUP,P_TRANSF,P_CPR,P_EMP,P_FORMAL,P_TRABCC,P_TRABPUB,P_TRABSC,P_FUND,P_MED,P_SUPER,P_REN0,P_REN1,P_REN2,P_REN3,P_REN5,RENOCUP,THEILtrab,T_ATIV1014,T_ATIV1517,T_ATIV1824,T_ATIV18M,T_ATIV2529,T_DES1014,T_DES1517,T_DES1824,T_DES18M,T_DES2529,T_AGUA,T_BANAGUA,T_DENS,T_LIXO,T_LUZ,T_AGUA_ESGOTO,T_PAREDE,T_CRIFUNDIN_TODOS,T_FORA0A5,T_FORA6A14,T_FUNDIN_TODOS,T_FUNDIN_TODOS_MMEIO,T_FUNDIN18MINF,T_OCUPDESLOC_1,T_RMAXIDOSO,T_SLUZ,T_VULNERA_NESTUDA_NTRAB_MMEIO,T_VULNERA_RMAXIDOSO,T_VULNERA_OCUPDESLOC_13,PEA1014,PEA1517,PEA18M,PESO1,PESO1114,PESO1113,PESO1214,PESO13,PESO15,PESO1517,PESO1524,PESO1618,PESO18,PESO1820,PESO1824,PESO1921,PESO25,PESO4,PESO5,PESO6,PESO610,PESO617,PESO65,PESORUR,PESOTOT,PESOURB,PESO80,PESO0a4,PESO5A9,PESO10a14,PESO15A19,PESO20A24,PESO25A29,PESO30A34,PESO35A39,PESO40A44,PESO45A49,PESO50A54,PESO55A59,PESO60A64,PESO65A69,PESO70A74,PESO75A79,PIA,PIA1014,PIA1517,PIA18M,POP,I_ESCOLARIDADE,I_FREQ_PROP,IDHM,IDHM_E,IDHM_L,IDHM_R,IDHM_R_ajustado,IDHM_ajustado
110020,2010110020,PORTO VELHO,2010,MULHER,"78,56","2,13","14,73","15,76","99,17","96,47","43,41","3,74","9,18","1,08","0,83","5,29","0,71","5,69","1,24","7,06","19,8","15,06","113,1","113,1","119,14","119,14","96,67","96,67","39,9","90,44","90,44","92,63","92,63","43,85","43,85","19,05","33,57","81,72","34,46","16,46","82,28","95,18","91,57","34,14","4,57","9,8","87,8","85,46","54,33","78,17","65,62","62,16","49,03","55,14","48,55","46,73","13,81","248,8",404,"632,86","1098,6","1782,5","0,55","2,47","3,68","8,08","13,33","22,46","34,07","43,54","3,38","59,2","10,62","22,23","40,8","81,25","16,4","11,13","888,22","150,27","3867,25","321,46","515,31","824,87","2625,16","894,32","25,48","84,82","161,55","0,53","4,3","17,93","2,6","0,14","61,27","0,93","3,65","17,4536587274","0,8937301451","64,8","48,1796419329","13,3252149902","17,161133237","73,7","58,36","17,66","3,73","15,61","67,36","80,14","89,87","1321,78","0,43","6,04","19,28","53,23","60,21","64,55","18,98","22,03","15,56","8,34","10,82","75,01","73,02","36,64","95,91","98,54","17,17","3,34","22,92","66,43","4,82","17,71","7,81","27,91","0,5","3,64","1,46","44,55","52,02","7,33",1209,2429,86414,3510,16196,11899,12328,10577,150544,12645,43381,12407,137899,12749,30736,13033,107163,3392,3678,3537,18741,47582,7890,13944,210909,196965,1469,17339,18142,20473,20855,22526,21371,19143,16248,14397,12113,9413,6588,4411,2877,2127,1417,176126,20016,12598,143512,210029,"0,656","0,684","0,77","0,675","0,893","0,757","0,625","0,722"
110020,2010110020,PORTO VELHO,2010,HOMEM,"70,37",,"16,45","17,59","93,7","81,63","42,55","3,32","8,99","1,35","1,3","5,83","1,79","6,22","3,27","7,45","22,21","17,34","111,35","109,67","119,02","118,91","90,02","83,45","33,41","90,15","89,88","92,27","91,92","42,05","40,26","15,84","32,82","82,02","31,45","14,29","81,06","94,52","91,21","36,58","4,93","9,5","87,37","83,95","50,79","73,42","61,88","58,7","42,07","49,2","44,44","43,12","12,21","254,4","428,5",660,1135,"1866,67","0,57","2,82","4,89","7,82","13,87","21,11","34,54","46,44","3,16","61,26","10,05","21,1","38,74","89,38","18,48","12,19","969,67","153,14",4503,"334,25","535,73","855,19","2970,4","977,8","22,78","78,96","158,53","0,59","7,62","13,61","19,87","0,82","41,14","2,47","5,92","24,458978901","1,4119946256","65,95","51,6282177051","9,5156873514","11,8815203026","61,99","44,14","10,59","1,58","7,42","52,6","71,02","84,43","1885,58","0,47","9,26","36,5","74,84","81,23","83,65","14,76","18,58","7,73","3,63","3,11","73,43","71,28","36,82","95,43","97,86","18,35","3,48","24,68","67,18","5,48","20,37","8,04","25,03","0,93","3,51","2,14","25,86","50,22","10,72",1966,4647,119190,3618,16670,12496,12498,10902,159883,12616,45263,12607,147267,13083,32647,13617,114620,3624,3714,3621,19330,48616,7224,23850,217618,193768,1228,18021,18649,21065,21134,24129,22820,19772,15925,14573,12716,10009,6953,4628,2978,1853,1165,180700,21240,12732,146727,212526,"0,619","0,653","0,72","0,641","0,756","0,771","0,864","0,748"
120040,2010120040,RIO BRANCO,2010,MULHER,"76,8","2,06","19,05","20,32","97,06","91,66","48,4","4,53","9,92","1,01","1,11","8,45","1,95","9,15","2,47","11,11","13,04","11,88","111,03","111,03","111,22","111,22","110,48","110,48","42,56","89,88","89,88","92,43","92,43","54,83","54,83","17,73","30,85","79,94","35,33","20,42","84,07","95,3","91,25","20,4","3,66","13,39","90,33","87,44","69,59","80,71","63,82","59,22","47,16","53,95","46,64","44,65","14,63","169,57","288,57",481,"854,6","1497,57","0,62","4,93","7,34","14,53","22,49","35,88","50,74","47,82","2,79","63,36","9,02","19,31","36,64","73,93","21,21","14,01","720,95","100,69","3447,81","224,47","371,01","624,64","2278,02","729,41","28,97","82,36","151,88","0,63","3,44","16,62","0,96","0,03","68,77","0,57","2,83","15,1627103765","1,0933017345","58,33","47,7605357513","7,7669984189","25,1329614572","73,03","57,7","19,69","3,65","19,66","71,12","81,27","90,53","1205,59","0,46","6,85","19,03","54,75","59,77","64,53","33,78","43,93","25,31","11,78","15,19","68,73","62,61","39,38","97,44","99,43","17,84","5,35","24,39","69,15","4,7","18,97","11,32","31,19","0,63","4,86","0,57","44,59","65,09","5,59",1216,2053,67677,2987,14094,10566,10546,8998,120259,10631,35031,10435,109628,10447,24400,10414,85228,3086,3150,3013,16241,40966,7806,12338,172446,160108,1654,14948,15721,17764,17519,17512,17417,15862,12498,10923,8450,6979,5293,3754,2818,1994,1340,141775,17764,10790,113220,171583,"0,638","0,728","0,758","0,697","0,863","0,723","0,646","0,73"
120040,2010120040,RIO BRANCO,2010,HOMEM,"69,27",,"21,12","22,53","93,39","81,92","52,57","4,08","9,72","1,99","1,77","8,95","2,36","9,65","3,15","11,66","14,61","13,03","109,95","108,88","112,09","112,93","103,7","96,5","36,59","90,45","91,02","92,32","92,22","52,97",51,"15,18","31,13","81,54","32,44","18,18","85,2","95,08","91,63","24,73","4,23","12,16","87,92","83,62","64,23","76,74","60,69","56,25","42,34","49,36","43,07","41,33","12,93",170,"299,44",500,884,1501,"0,63","4,76","7,55","14,23","23,34","34,58","50,36","49,77","2,76","64,24","8,83","18,89","35,76","85,02","22,55","14,6","769,87","106,17","3831,39","233,68","387,2","649,57","2480,75","781,51","26,28","82,33","151,4","0,65","6,46","17,57","15,74","0,13","44,79","1,48","5,77","23,2204273087","1,5151832781","59,82","48,7572955625","6,7524590125","18,0199458717","61,29","42,95","11,23","2,18","10,95","63,12","76,86","87,84","1535,53","0,48","5,77","24,01","71,14","77,52","83,94","27,82","33,17","14,22","6,23","6,62","67,72","61,57","39,47","97,32","99,23","19,06","5,69","24,96","68,87","4,92","21,02","11,75",29,"0,83","4,54","0,77","27,2","65,2","5,43",1035,2437,80473,3023,14262,10788,10646,9329,113902,10004,32895,9733,103898,9691,22891,9757,81007,3218,3161,3235,16831,41097,6675,15155,163592,148437,1426,15436,16319,17935,16357,16538,16303,14228,11624,9893,7707,6303,4889,3385,2409,1706,1134,131894,17935,10152,103807,161469,"0,607","0,699","0,712","0,667","0,738","0,734","0,796","0,732"
130260,2010130260,MANAUS,2010,MULHER,"78,92","2,06","13,4","14,31","99,76","95,74","46,3","4,41","9,76","2,08","0,9","3,96","0,8","4,23","1,02","5,13","16,69","11,47","122,65","122,65",123,123,"121,65","121,65","44,55","90,29","90,29","91,67","91,67","46,29","46,29","17,57","33,95","82,52","39,77","22,94","85,92","94,25","91,17","33,43","6,26","14,74","89,74","87,39","54,77","78,21","69,22","66,86","42,13","51,06","51,05","51,05","12,01","177,75",300,"477,5",838,1429,"0,64","3,75","5,9","13,19","20,91","33,95","47,13","50,72","2,94","64,77","9,17","19,05","35,23","76,97","22,11","14,14","769,01","113,11","3900,26","239,66","379,87","622,13","2494,92","771,28","36,55","88,47","157,18","0,67","1,08","19,78","0,73","0,13","57,05","0,36","13,74","18,5696653951","1,0296870874","57,66","46,7219106417","8,2307560579","23,266231732","77,54","61,69","16,11","3,27","18,67","72,55","83,16","91,4","1250,28","0,48","6,23","20,39","54,98","58,37","65,22","28,45","35,79","24,89","14,26","17,98","86,92","83,78","49,97","98,32","99,67","6,28","2,86","18,36","66,05","5,75","13,55","8,14","27,03","2,35","5,55","0,33","39,54","54,48","21,46",5602,11189,359696,15734,71317,53137,53651,47318,650542,55076,182688,54703,595466,52873,127612,52418,467854,16096,16484,15870,83436,209829,40680,4140,922272,918132,8785,79972,81289,89948,90056,92632,95173,86810,71694,58283,47683,38942,28589,20521,14158,10483,7254,761058,89948,54866,616244,917612,"0,692","0,681","0,767","0,685","0,899","0,734","0,651","0,737"
130260,2010130260,MANAUS,2010,HOMEM,"70,16",,"15,08","16,09","93,38","82,55","48,44","3,34","9,51","2,59","1,25","3,94","1,17","4,18","1,37","4,98","19,62","13,97","120,24","117,86","122,7","122,41","113,11","104,24","39,71","90,51","90,72","91,89","92,09","43,39","40,39","15,59","33,85","83,59","38,15","20,59","85,57","94,16","91,45","37,2","6,2","15,04","88,32","84,34","51,23","76,12","67,93","65,76","38,76","48,47","49,57","49,86","10,97","183,75","302,4","499,2","867,5","1502,33","0,66","3,74","6,4","12,59","20,34","33,02","47,42","52,89","2,85","65,93","8,83","18,32","34,07","82,23","23,97","14,93","812,54","115,8","4297,19","242,78","385,64","639,78","2676,11","815,48","35,85","87,62","157,85","0,7","1,48","16,86","12,81","0,52","40,53","1,18","18,32","21,9683411376","1,54263894","63,92","53,7384348571","6,2444010905","15,6200304448","69,73","52,17","9,76","1,27","9,27","62,82","77,71","88,05","1604,43","0,49","6,17","25,44","71,83","79,59","85,12","27,7","31,39","16,98","7,88","8,48","86,47","83,3","50,42","98,26","99,59","6,63","3,03","18,5","66,15","5,84","14,5","8,19","23,21","3,93",5,"0,41","26,63","50,06","24,51",5592,13463,453507,16238,71105,53129,53042,48798,621989,52715,173510,52043,569274,49288,120795,48985,448479,16604,17001,16576,87099,210919,29348,4993,879742,874749,5006,82548,84622,90583,85459,88051,89991,81086,67048,56625,45309,35802,25738,17532,11484,7964,4894,713346,90583,52929,569835,875831,"0,679","0,66","0,72","0,666","0,753","0,743","0,805","0,739"
140010,2010140010,BOA VISTA,2010,MULHER,"78,74","2,18","14,56","15,29","98,54","93,29","48,68","3,46","9,75","0,92","0,72","5,21","1,28","5,64","1,4","6,94","15,03","12,57","112,67","112,67","113,73","113,73","109,58","109,58","52,42","93,33","93,33","94,61","94,61","58,35","58,35","20,43","36,7","85,94","36,61","22,58","91,01","97,35","94,44","23,86","3,39","11,3","92,82","90,58","68,62","84,35","72,14","68,51","51,9","61,23","56,35","54,9","14,68","175,22",306,510,999,1700,"0,62","5,36","7,83","14,15","20,78","32,88","45,22","45,05","2,74","61,89","9,05","19,65","38,11","81,27","19,91","13,59","763,8","104,57","3441,12","241,17","404,79","704,85","2348,68","766,15","33,64","81,12","148,7","0,63","2,66","16,16","0,49","0,23","66,85","0,52","2,69","14,3824274672","1,2587382202","57,33","33,9005796291","20,7449082448","26,6658456061","81,31","67,84","18,96","3,55","18,51","67,73","77,71","87,21","1313,19","0,47","5,37","23,33","58,47","63,88","71,43","16,06","24,88","20,26","9,84","11,16","92,37","89,86","44,8","97,87","99,32","3,91","3,57","16,77","63,3","2,65","12,58","7,53","23,98","0,6","4,26","0,68","40,17","49,68","5,27",812,2092,59122,2635,11940,8828,9042,7960,98830,9054,30184,9139,89776,8931,21130,8707,68646,2628,2726,2736,14121,35115,4966,2590,143512,140922,1077,13234,13673,15114,15058,15126,15237,13171,10352,8517,7155,5378,3870,2661,1765,1281,843,116626,15114,8967,92545,142569,"0,721","0,761","0,789","0,747","0,896","0,733","0,654","0,759"
140010,2010140010,BOA VISTA,2010,HOMEM,"69,95",,"16,39","17,21","94,16","83,46","50,77","3,13","9,5","1,65","0,83","5,74","1,32","6,22","1,9","7,67","17,43","14,07","111,67","110,67","114,89","116,04","102,25","94,86","45,32","92,95","92,57","94,17","93,73","54,1","49,83","17,39","36,03","86,5","34,42","20,15","89,44","96,63","94,05","28,93","3,82","11,81","90,19","84,66","62,28","82,21","68,7","64,71","48,28","57,04","52,2","50,76","12,99","184,17",324,"518,33",1000,"1766,67","0,64","4,69","7,19","13,07","20,47","31,64","45,76","46,97","2,74","63,09","8,9","19,13","36,91","89,07","21,11","14,3","809,89","110,98","3803,71","249,39","414,4",720,"2577,43","812,26","32,85","82,41","151,4","0,65","5,73","16,19","14,28","0,56","45,77","1,23","4,59","24,4597076358","2,0233239641","56,25","33,1621676847","18,6156724231","20,0074551308","69,65","52,3","11,4","2,35","13,21","62,12","74,01","84,72","1653,03","0,52","6,83","29,31","73,38","79,82","84,92","16,73","19,09","11,49","5,45","5,68","91,52","88,53","44,91","97,64","99,26","4,45","3,74","16,39","63,97","3,37","13,62","7,54","25,93","0,72","4,5","0,74","23,45","51,4","4,83",1037,2611,71061,2784,12072,9044,9120,8357,97801,8827,29092,8807,88974,8486,20265,8396,68709,2618,2895,2730,14281,35180,4412,3924,140801,136877,790,13752,14054,15194,14587,14505,14372,12391,9944,8534,7044,5417,3905,2690,1715,1157,750,113133,15194,8908,89031,138969,"0,687","0,725","0,734","0,712","0,749","0,742","0,806","0,755"
150080,2010150080,ANANINDEUA,2010,MULHER,"78,68","1,7","16,06","17,27","100,69","100,35","41,3","4,6","9,94","1,34","0,57","3,28","0,68","3,5","0,71","4,21","19,95","15,06","125,42","125,42","123,69","123,69","130,28","130,28","28,65","93,76","93,76","95,55","95,55","48,13","48,13","12,56","40,66","86,64","36,19","17,19","91,38","97,28","94,48","35,89","5,65","17,06","86,35","84,67","55,4","80,01","68,49","65,61","39,93","47,82","45,92","45,45","7,97",170,"264,29",402,685,"1102,5","0,61","4,25","6,37","14,38","21,79","38,75","51,95","41,6","4,03","56,99","12,11","24,11","43,01","73,71","13,74","9,44","551,07","111,18","2292,26","222,38","330,75","520,82","1575,09","552,61","37,19","89,05","161,24","0,48","1,16",26,"0,72","0,05","58,97","0,68","6,56","24,0038774536","0,9354161136","46,02","36,8634197315","6,3943609636","29,2702648984","76,2","55,2","11,1","3,1","27,87","81,63","89,74","95,09","854,82","0,36","3,1","17,96","49,78","56,38","62,78","17,9","43,49","29,42","14,69","18,32","80,95","79,37","43,31","97,88","99,86","9,14","2,33","17,99","59,34","2,72","13,69","8,53","28,38","3,17","6,6","0,14","40,47","60,42","20,55",690,2447,96617,3620,17683,13101,13313,10949,178747,14075,47941,14070,164672,13938,33866,14073,130806,3725,3872,3816,20561,52319,11285,548,245345,244797,2245,18305,19831,22285,23320,24621,25129,23139,19981,17139,13736,11696,8701,6177,4198,2888,1954,207293,22285,13627,171380,244157,"0,685","0,683","0,747","0,684","0,895","0,68","0,576","0,706"
150080,2010150080,ANANINDEUA,2010,HOMEM,"69,44",,"18,2","19,56","91,53","79,6","44,91","3,48","9,65","2,37","1,56","3,4",1,"3,55","1,29","4,2","22,78","17,01","120,98","116,63","123,33","122,98","114,36","98,69","25,69","93,72","93,68","94,74","93,95","45,18","42,28","11,04","41,27","88,28","33,97","15,55","90,69","96,72","94,51","40,65","5,49","16,49","84,76","80,88","51,25","77,5","66,91","64,22","37,22","45,6",44,"43,6","7,27","174,33",280,"422,4","726,14",1150,"0,62","4,06","6,75","13,45","21,13","36,06","50,53","41,6","3,87","57,27","11,8","23,82","42,73","84,65","14,1","9,71","579,52","112,13","2410,81","229,91","348,08","548,01","1661,15","581,82","36,73","88,62","160,26","0,48","2,42","22,92","16,92","0,22","42,7","1,22","7,74","27,4225487976","1,0751899032","55,96","45,4449465258","6,5342117812","18,6513097451","67,27","43,39","6,41","1,05","14,52","70,49","84,28","92,12","1203,03","0,39","5,86","22,95","70,74","80,92","89,06","20,11","28,35","17,85","7,75","9,07","80,14","78,45","43,45","97,77","99,83","9,75","2,39","17,64","58,73","3,28","14,37","8,19","25,35","3,89","5,55","0,17","24,55","58,6","19,21",1336,3177,121606,3841,17940,13286,13573,11384,164272,13459,44584,13363,150813,12919,31125,12991,119688,3960,3934,3794,21421,52820,7876,613,226635,226022,1223,19068,20482,22813,22071,22513,22708,20455,17865,15288,12502,10213,7580,5201,3291,2134,1228,186931,22813,13844,150274,226286,"0,669","0,66","0,697","0,663","0,741","0,688","0,765","0,722"
