Num,ID,CODIGO_ID,ANO,DESAGREGAÇÃO,ESPVIDA,FECTOT,MORT1,MORT5,SOBRE40,SOBRE60,RAZDEP,T_ENV,E_ANOSESTUDO,T_ANALF11A14,T_ANALF15A17,T_ANALF15M,T_ANALF18A24,T_ANALF18M,T_ANALF25A29,T_ANALF25M,T_ATRASO_2_BASICO,T_ATRASO_2_FUND,T_FBBAS,T_FBBAS_tudo,T_FBFUND,T_FBFUND_tudo,T_FBMED,T_FBMED_tudo,T_FBSUPER,T_FLBAS,T_FLBAS_tudo,T_FLFUND,T_FLFUND_tudo,T_FLMED,T_FLMED_tudo,T_FLSUPER,T_FREQ0A5,T_FREQ15A17,T_FREQ18A24,T_FREQ25A29,T_FREQ5A6,T_FREQ6A14,T_FREQ6A17,T_FREQFUND1517,T_FREQFUND1824,T_FREQMED1824,T_FUND11A13,T_FUND11A13_tudo,T_FUND15A17,T_FUND18A24,T_FUND18M,T_FUND25M,T_MED18A20,T_MED18A24,T_MED18M,T_MED25M,T_SUPER25M,CORTE1,CORTE2,CORTE3,CORTE4,CORTE9,GINI,PIND,PINDCRI,PMPOB,PMPOBCRI,PPOB,PPOBCRI,PREN10RICOS,PREN20,PREN20RICOS,PREN40,PREN60,PREN80,PRENTRAB,R1040,R2040,RDPC,RDPC1,RDPC10,RDPC2,RDPC3,RDPC4,RDPC5,RDPCT,RIND,RMPOB,RPOB,THEIL,P_AGRO,P_COM,P_CONSTR,P_EXTR,P_SERV,P_SIUP,P_TRANSF,P_CPR,P_EMP,P_FORMAL,P_TRABCC,P_TRABPUB,P_TRABSC,P_FUND,P_MED,P_SUPER,P_REN0,P_REN1,P_REN2,P_REN3,P_REN5,RENOCUP,THEILtrab,T_ATIV1014,T_ATIV1517,T_ATIV1824,T_ATIV18M,T_ATIV2529,T_DES1014,T_DES1517,T_DES1824,T_DES18M,T_DES2529,T_AGUA,T_BANAGUA,T_DENS,T_LIXO,T_LUZ,T_AGUA_ESGOTO,T_PAREDE,T_CRIFUNDIN_TODOS,T_FORA0A5,T_FORA6A14,T_FUNDIN_TODOS,T_FUNDIN_TODOS_MMEIO,T_FUNDIN18MINF,T_OCUPDESLOC_1,T_RMAXIDOSO,T_SLUZ,T_VULNERA_NESTUDA_NTRAB_MMEIO,T_VULNERA_RMAXIDOSO,T_VULNERA_OCUPDESLOC_13,PEA1014,PEA1517,PEA18M,PESO1,PESO1114,PESO1113,PESO1214,PESO13,PESO15,PESO1517,PESO1524,PESO1618,PESO18,PESO1820,PESO1824,PESO1921,PESO25,PESO4,PESO5,PESO6,PESO610,PESO617,PESO65,PESORUR,PESOTOT,PESOURB,PESO80,PESO0a4,PESO5A9,PESO10a14,PESO15A19,PESO20A24,PESO25A29,PESO30A34,PESO35A39,PESO40A44,PESO45A49,PESO50A54,PESO55A59,PESO60A64,PESO65A69,PESO70A74,PESO75A79,PIA,PIA1014,PIA1517,PIA18M,POP,I_ESCOLARIDADE,I_FREQ_PROP,IDHM,IDHM_E,IDHM_L,IDHM_R,IDHM_R_ajustado,IDHM_ajustado
11,2000000011,Rondônia,2000,MULHER,"69,34","2,75","28,8","34,46","90,71","79,39","60,56","2,99","8,13","1,68","1,67","13,23","2,83","14,61","4,23","18,58","25,27","19,16","87,68","102,23","100,12","113,44","49,83","68,13","10,08","75,08","81,46","81,92","86,98","22,21","25,52","3,96","12,63","63,33","25,53","13,16","51,19","87,57","81,58","30,64","5,73",9,"58,15","72,11","33,05","44,92","32,56","28,39","18,49","21,76","18,64","17,59","3,17","97,6","179,27","292,81","545,61","976,05","0,6","12,8","17,37","30,28","39,46","54,32","64,45","48,37","2,3","64,03","8,38","18,62","35,97","79,67","23,09","15,29","454,06","52,13","2196,13","138,13","232,47","393,98","1454,24","473,26","31,67","73,67","125,8","0,62","15,62","15,16","0,49","0,06","59,64","0,28","6,54","18,3701267931","1,8765653268","44,93","32,2928002324","8,8373497607","26,0641789511","47,68","31,42","5,38","12,67","59,78","81,11","86,83","94,38","837,24","0,56","7,75","31,7","47,44","47,72","51,79","21,33","28,36","22,96","15,06","16,42","64,8","56,39","40,06","81,99","85,13","23,69",,"57,29","87,37","12,43","50,62","35,29","61,95",,"4,38","14,87","50,77","54,81",,6072,14464,184382,14598,63493,47533,47661,44931,438408,46663,145408,47076,391745,45580,98745,43189,293000,15630,16235,16150,78152,188308,20104,226838,671647,444809,2862,75359,78616,79264,77280,68128,59939,53626,46522,36936,28177,20112,15643,11941,8589,5430,3223,510386,78380,45627,386379,662019,"0,326","0,402","0,564","0,375","0,739","0,649","0,513","0,522"
11,2000000011,Rondônia,2000,HOMEM,"62,83",,"31,79","38,03","85,91","68,12","60,88","3,59","7,58","2,55","2,79","11,69","3,57","12,72","5,7","15,62","31,82","24,77","85,37","97,22","101,27","113,13","37,26","49,11","6,29","75,18","81,57","82,19","87,17","16,9","19,45","2,47","11,68","63,81","23,42","8,08","49,33","87,57","81,67","36,09","6,89","7,77","49,59","67,2","25,31","36,8","27,87","25,04","10,32","15,06","14,61","14,47","2,81","97,6","185,45","294,77","579,49","976,7","0,61","12,96","17,64","29,78","39,43","53,21","64,19","50,58","2,15","64,77","8,05","18,05","35,23","91,35","25,15","16,16","478,14","51,5","2418,52","140,84","239,28","410,52","1554,32","499,05","31,39","72,62","125,3","0,65","39,61","12,66","7,95","0,43","26,98","0,58","10,01","42,130158822","2,8891594399","36,24","23,9738268958","4,4011215528","19,369869757","29,19","15,7","2,59","7,36","41,84","73,11","80,83","90,55","1231,2","0,59","19,2",59,"86,31","86,74","92,78","14,05","18,1","11,06","6,25","5,28","62,33","53,56","39,43","80,49","82,77","25,2",,"58,19","88,32","12,43","53,36","35,43","56,59",,"4,47","17,23","18,99","54,82",,15565,28232,354933,15392,65608,49158,48952,47567,465622,48049,148805,48230,417573,46693,100756,44193,316817,16347,16816,16647,80854,194511,25444,268426,708140,439714,3263,79240,81330,81948,79605,69200,58361,55546,50530,40261,30810,23619,17673,14573,10625,7344,4212,538083,81063,47846,409174,696370,"0,279","0,336","0,508","0,316","0,631","0,657","0,722","0,524"
11,2010000011,Rondônia,2010,MULHER,"76,35","2,16","17,08","18,34","97,69","92,87","46,44","4,56","9,51","0,95","0,67","9,05","0,98","9,83","1,63","12,09","16,79","13,27","111,49","111,49","116,13","116,13","98,69","98,69","32,39","91,03","91,03","93,29","93,29","48,43","48,43","14,66","26,8","79,82","30,86","16,66","77,6","96,28","91,89","28,56","4,84","10,63","91,41","89,24","59,23","73,65","51,74","46,13","42,76","47,53","35,87","32,88","9,79","172,33","302,4","499,5",800,"1252,4","0,55","6,24","8,84","14,82","22,28","33,84","47,33","43,62","2,96","58,95","10,29","22,21","41,05","75,6","16,96","11,48","648,52","95,87","2828,66","237,76","386,69","610,89","1914,83","661,23","24,77","73,79","146,24","0,54","14,96",18,"1,1","0,19","53,68","0,5","5,07","19,2072912011","1,3587694464","52,72","36,9881148849","11,0659857571","21,2117468389","62,85","47,41","13,9","11,22","31,18","77,39","86,69","94,13","958,24","0,44","9,13","29,09","56,11","57,03","64,03","12,06",21,"15,29","7,99","9,99","84,11","80,37","27,19","94,95","97,62","11,99","3,8","33,77","73,2","3,72","28,98","15,35","42,51","0,32","5,1","2,38","42,87","68,4","3,34",6954,13822,292425,12401,61029,45291,46208,25234,558942,47581,151761,46350,511361,44634,104180,44488,407181,13044,13536,13172,70671,179281,35005,187496,767252,579756,5738,63074,68618,76618,77199,74562,72890,66583,58600,51215,43422,34616,26308,18542,13486,9541,6240,636401,76161,47517,512723,763387,"0,517","0,678","0,721","0,619","0,856","0,706","0,586","0,677"
11,2010000011,Rondônia,2010,HOMEM,"69,18",,"18,85","20,23","92,53","79,68","47,08","4,84","8,9","1,78","1,51","8,89","2,22","9,57","3,64","11,41","24,23","19,11","107,95","107,95","118,38","118,38","78,34","78,34","19,23","90,93","90,93","93,5","93,5","38,63","38,63","8,65","26,39","80,82","25,14","10,77","77,56","95,56","91,72","39,87","5,22","10,26","87,21","85,02","45,57","64,45","44,39","39,35","30,15","35,47","27,34","25,29","6,35","174,6","313,6","501,67",833,1300,"0,57","6,54","9,47","14,78","23,05","32,84","47,08","45,52","2,71","60,48","9,73","21,32","39,52","87,43","18,72","12,39","692,53","93,92","3152,63","242,89","401,4","630,07","2086,4","708,47","23,04","71,34","143,61","0,58","27,49","13,4","13,2","0,73","29,97","1,32","8,22","32,3944941456","1,8226725302","51,07","37,290001914","6,3995466519","16,4723296281","48,01","30,18","6,44","6,13","20,54","66,08","80,48","90,46","1362,11","0,47","14,66","43,55","79,1","81,39","87,75","8,65","13,72","6,99","3,29","3,17","82,94","78,89","27,11","94,33","96,91","12,86","3,99","34,7","73,61","4,44","31,37","15,63","39,73","0,65","5,1","3,09","22,57","67,93","5,44",11744,21082,431413,12793,63723,47462,48225,38605,425567,48313,155546,47269,377254,45489,107233,45602,423601,13510,14020,13916,73413,185449,38511,225733,795157,569424,6261,64854,71216,79940,78756,76790,73349,66371,57891,54364,47198,37245,28045,20627,14731,10744,6775,658556,80115,48404,530037,783954,"0,444","0,601","0,659","0,543","0,736","0,717","0,796","0,683"
12,2000000012,Acre,2000,MULHER,"69,7","3,42","28,86","32,39","91,07","77,68","73,03","3,5","7,42","9,72","9,8","21,97","12,25","23,6","16,92","27,98","34,29","27,88","93,2",105,"103,21","113,44","62,55","79,16","6,51","75,32","78,59","79,63","81,64","23,23",25,"3,3","13,83","68,67","35,01","19,48","54,39","82,37",79,"37,2","9,37","12,67","45,6","62,68","28,62","42,83","34,61","31,44","15,46","19,53","19,38","19,32",4,"59,34","122,33","213,75","429,46","746,09","0,64","22,71","31,19","43,74","55,5","65,18","75,52","52,29","1,51","67,65","6,56","15,65","32,35","74,17","31,9","20,63","361,6","27,32","1890,79","91,24","164,4","302,01","1222,7","386,28","31,8","65,4","105,35","0,72","9,64","10,92","0,33","0,01","72,99","0,3","4,54","13,9074431533","0,9602948573","51,88","41,8114764929","8,2555521578","25,6454565505","51,82","33,72","7,01","9,55","55,47","81,97","88,27","94,39","859,23","0,56","6,69","22,46","42,76","46,8","50,98","30,53","36,29","29,18","15,86","18,34","37,02","31,4","57,11","75,05","77,72",37,,"61,76","86,17","17,63","52,6","44,41","59,69",,"6,8","22,28","47,47","70,43",,2214,4449,69097,7443,26715,19954,19872,23010,169509,20238,61674,20076,149271,19621,41436,18582,107835,7466,7669,7147,34752,81705,9687,86466,276543,190077,1951,37898,35442,33694,33288,28386,22423,18843,15581,12798,10053,7594,6235,4621,3396,2663,1677,200536,33089,19812,147636,273132,"0,346","0,36","0,545","0,355","0,745","0,612","0,574","0,533"
12,2000000012,Acre,2000,HOMEM,"63,36",,"31,74","35,63","87,29","70,88","75,06","3,94","6,7","14,58","12,01","25,46","16,8","27,26","21,9","31,2","40,84","33,66","86,75","96,5","100,8","109,98","42,7","54,21","5,18","73,52","77,57","77,84","80,27","15,63","16,92","2,4","11,52","70,05","30,61","11,58","49,61","80,85","78,24","43,28","8,91","10,56","37,92","54,69","19,41","36,58",29,"26,14","11,22","14,75","15,55","15,86","3,54","58,89","118,75","211,22","419,42","727,64","0,65","23,75","32,38","44,69","56,19","65,61","75,99","52,52","1,4","67,76","6,37","15,49","32,24","85,45","32,96","21,25","355,94","24,97","1869,41","88,46","162,32","298,1","1205,01","382,94","31,15","64,4","103,97","0,72","32,81","12,99","8,47","0,03","34,75","0,84","8,18","35,8921157835","2,0168323667","35,07","25,9446214798","5,5844058957","21,5496588276","30,33","17,38","3,36","9,06","53,48","78,72","85,46","93,34","969,54","0,6","14,06","41,36","76,65","81,09","90,84","16,78","22,45","15,77","8,35","8,44","34,19","28,64","57,91","73,85","73,95","37,59",,"62,41","88,48","19,15","55,74","45,72","59,27",,"6,3","26,05","20,87","66,99",,4807,8226,120924,7946,26960,20378,20102,23863,171566,20217,61766,20557,151349,19891,41549,18395,109800,7605,7723,7196,35545,82722,11062,100793,280983,180190,2059,39189,35845,34383,33570,28196,21949,18780,15389,13005,10387,8030,6164,5034,3891,3076,2036,203190,34186,19888,149116,277279,"0,29","0,295","0,485","0,293","0,639","0,61","0,63","0,49"
12,2010000012,Acre,2010,MULHER,"74,9","2,95","21,87","23,69","96,1","87,82","60,09","4,32","8,98","4,5","3,26","15,23","4,84","16,55","7,67","19,95","19,04","17,45","106,78","106,78","110,27","110,27","95,93","95,93","32,44","87,05","87,05","89,46","89,46","46,93","46,93","12,59","29,92","75,95","32,95","19,69","78,49","92,21","88,24","25,44","5,64","13,6","82,83","80,54","58,71","69,51","52,61","47,69","36,85","43,17","37,23","35,5","10,85","99,8","196,8","333,33",624,"1020,5","0,62","15,15","22,39","29,01","41,66","51,02","66,34","49,87","1,46","65,19","7,08","17,14","34,81","71,26","28,19","18,42","514,41","37,65","2565,22","144,33","258,77","454,53","1676,42","540,4","23,91","63,62","121,51","0,71","13,02","14,25","0,71","0,02","61,77","0,51","2,75","15,5555168347","0,8182308731","47,77","39,4324621269","6,1136258434","27,7481615569","63,75","49,46","15,53","11,37","33,21","77,29","85,5","92,89","956,59","0,48","9,04","20,18","49,92","55,02","60,7","17,27","32,67","21,97","10,39","13,08","56,95","48,64","45,98","93,84","91,82","27,22","8,75","40,44","70,08","7,79","31,63","24,01","43,34","0,63","6,03","8,18","43,02","72,16","3,86",3911,4882,120877,7407,34154,25676,25555,15186,243935,23964,73690,22977,219971,21798,49726,21343,170245,7879,8073,7703,41183,99301,15792,92343,365235,272892,3236,37890,40150,43260,38543,35147,34049,29977,23941,19988,15716,13036,10239,7507,5864,4000,2692,287127,43260,24191,219677,363500,"0,526","0,642","0,694","0,601","0,832","0,669","0,608","0,672"
12,2010000012,Acre,2010,HOMEM,"68,08",,"24,06","26,07","92,1","80,13","62,63","4,32","8,4","8,38","6,13","17,96","6,97","19,27","9,99","22,87","25,44","22,49","105,56","105,56","113,02","113,02","81,59","81,59","20,98","87,58","87,58","89,19","89,19","40,89","40,89","8,41","29,48","79,57","29,11","14,06","78,95","91,46","88,64","35,61","7,56","11,8","74,48","72,64","47,16","61,13","44,97","40,24","27,09","33,52","28,92","27,58","7,09","94,19","192,86","336,67",625,1025,"0,63","16,04","22,99","29,91","42,83","50,93","66,46","51,27","1,3","66,33","6,64","16,38","33,67",84,"30,87","19,97","529,86","34,42","2716,48","141,58","257,92","458,21","1757,24","561,16","22,72","61,79","117,87","0,74","22,49","13,57","12,79","0,11","37,73","1,26","5,57","25,7985241246","1,1939977092","45,52","37,2900904539","5,0061224815","22,2588912476","49,2","32,71","7,4","9,25","27,43","73,12","83,41","91,79","1169,54","0,51","11,57","27,85","67,97","74,77","81,92","9,92","20,57","11,97","5,29","5,13","54,57","46,2","46,11","93,41","90,47","28,95","9,36","41,81","70,52","8,54","34,78","25,57","44,16","1,15","5,85","9,53","26,88","71,82","5,7",5143,6746,163091,7719,35063,26583,26003,23950,172018,23985,73628,23046,148033,21813,49643,21342,168766,8068,8269,8261,43123,102171,15914,108937,368324,259387,3256,39475,42008,44447,38440,35188,33369,29128,23836,19940,15765,12883,10218,7713,5757,4085,2816,286782,44447,24221,218114,365120,"0,45","0,569","0,634","0,526","0,718","0,674","0,717","0,647"
13,2000000013,Amazonas,2000,MULHER,"69,43","3,45","36,07","44,04","90,57","79,01","72,48","3,37","6,98","8,17","6,26","15,04","7,91","16,23","10,15","19,45",40,"32,95","95,34","101,42","107,38","113,37","58,66","65,03","9,19","75,34","78,1","78,02","80,11","21,41","22,48","3,67","13,72","71,71","32,54","14,51","49,73","80,55","78,36","44,88","11,68","13,32","40,68","59,4","25,83","45,28","38,85","36,36","16,2","22,15","24,02","24,73","3,22","49,13","108,34","195,21","395,92","740,93","0,67","26,92","36,28","48,28","60,37","68,23","78,73","54,71","1,13","69,83","5,61","14,15","30,17","74,02","38,98","24,96","350,9","19,79","1919,9","78,71","149,69","281,15","1229,43","381,97","29,93","61,82","99,08","0,78","16,9","15,06","0,67","0,04","55,27","0,24","10,58","19,4091782266","1,0902737638","41,65","26,4405559294","12,8214461242","25,6146907145","52,18","38,27","5,09","14,76","60,07","82,81","88,34","94,74","794,86","0,53","6,42","23,51","47,86","50,24","56,63","29,95","47,27","38,78","24,71","27,22","53,68","43,85","68,46","79,25","83,13","28,25",,"55,9","86,28","19,45","45,74","39,96","57,45",,"7,05","16,87","45,03","53,78",,10600,23529,372468,37826,133299,99433,100961,115854,857818,102585,313540,100532,755233,99103,210955,94163,544278,38275,38767,37722,176827,412711,47159,331484,1398190,1066706,9153,191479,180510,168383,167713,145827,117614,94710,82265,64963,49929,36282,28367,22989,17485,12266,8255,1006637,165209,100078,741350,1377223,"0,389","0,331","0,54","0,349","0,741","0,608","0,518","0,512"
13,2000000013,Amazonas,2000,HOMEM,"63,21",,"39,62","48,37","85,73","69,86","73,07","3,14","6,45",12,"8,18","15,17","8,99","16,1","11,76","18,81","46,63","38,58","93,26","99,05","108,14","114,07","46,66","52,02","6,5","74,81","77,75","77,05","79,19","15,13","16,09","2,58",13,"73,59","33,51","10,42","48,48","79,52","78,08","52,1","14,24","12,37","31,72","50,58","18,54","39,13","35,45","34,04","11,04","16,97","20,95","22,47","3,53","48,8","104,07","194,93","390,42","727,48","0,68","27,92","36,58","49,14","60,69","68,78","79,1","56,06","1,05",71,"5,37","13,52",29,"86,69","41,76","26,65","352,94","18,45","1978,68","76,32","143,74","273,32","1262,98","386,54","29,5","60,82","97,54","0,8","27,95","13,91","8,91","0,34","33,6","0,6","13,11","37,0236652198","1,7387455112","36,42","24,6562843847","7,7767420354","18,5236720375","38,08","24,27","3,49","10,36","50,16","76,91","84,4","92,26","1072,68","0,63","10,89","36,63","74,9","80,09","88,23","20,25","33,08","24,04","14,54","14,03","50,83","40,85","68,79","77,57","81,19","30,39",,"56,37",87,"20,48","48,62","41,83","55,82",,"7,29","18,81","24,31","54,57",,18374,36758,598983,38528,135277,101487,102155,117978,861574,101877,311527,100948,759697,98238,209650,92162,550047,39232,40173,38486,181811,418965,44347,373851,1414367,1040516,7195,195532,185710,171551,167073,144454,116232,96648,84359,67091,52265,38171,28369,22565,17144,12121,7887,1017000,168736,100362,747902,1394602,"0,355","0,274","0,488","0,299","0,637","0,609","0,658","0,5"
