cod;nome;período;valor
12;AC;1996;0
27;AL;1996;0
13;AM;1996;0
16;AP;1996;0
29;BA;1996;0
23;CE;1996;0
53;DF;1996;0
32;ES;1996;0
52;GO;1996;0
21;MA;1996;0
31;MG;1996;0
50;MS;1996;0
51;MT;1996;0
15;PA;1996;0
25;PB;1996;0
26;PE;1996;0
22;PI;1996;0
41;PR;1996;0
33;RJ;1996;0
24;RN;1996;0
11;RO;1996;0
14;RR;1996;0
43;RS;1996;0
42;SC;1996;0
28;SE;1996;0
35;SP;1996;8.092854758
17;TO;1996;0
12;AC;1997;2.64687977
27;AL;1997;14.59902139
13;AM;1997;53.95235381
16;AP;1997;51.6631281
29;BA;1997;2.48706725
23;CE;1997;11.46359607
53;DF;1997;82.74632493
32;ES;1997;36.31524963
52;GO;1997;9.587074405
21;MA;1997;7.850232344
31;MG;1997;12.74056407
50;MS;1997;0.219776839
51;MT;1997;32.39138572
15;PA;1997;20.63907997
25;PB;1997;7.264455453
26;PE;1997;25.54962207
22;PI;1997;7.090908243
41;PR;1997;6.15629145
33;RJ;1997;155.299762
24;RN;1997;15.07700131
11;RO;1997;20.64636295
14;RR;1997;22.96454627
43;RS;1997;36.01891614
42;SC;1997;5.338201773
28;SE;1997;7.150833909
35;SP;1997;45.88406537
17;TO;1997;6.999488313
12;AC;1998;19.0704517
27;AL;1998;25.20352429
13;AM;1998;63.73074078
16;AP;1998;99.32326759
29;BA;1998;5.035348962
23;CE;1998;12.41638784
53;DF;1998;85.46198898
32;ES;1998;38.68640774
52;GO;1998;14.45928306
21;MA;1998;8.47688158
31;MG;1998;16.9593117
50;MS;1998;1.865475871
51;MT;1998;49.82704267
15;PA;1998;40.40988638
25;PB;1998;8.649615672
26;PE;1998;49.45273352
22;PI;1998;7.293946025
41;PR;1998;21.22272148
33;RJ;1998;139.8988844
24;RN;1998;14.1959204
11;RO;1998;47.05312971
14;RR;1998;128.1942918
43;RS;1998;31.9260973
42;SC;1998;15.24991927
28;SE;1998;12.14835136
35;SP;1998;122.0776017
17;TO;1998;11.92029148
12;AC;1999;11.58999243
27;AL;1999;40.21568935
13;AM;1999;60.8394401
16;AP;1999;105.1355152
