cod;nome;período;valor
12;AC;1996;0
27;AL;1996;0
16;AP;1996;0
13;AM;1996;0
29;BA;1996;0
23;CE;1996;0
53;DF;1996;0
32;ES;1996;0
52;GO;1996;0
21;MA;1996;0
51;MT;1996;0
50;MS;1996;0
31;MG;1996;0
15;PA;1996;0
25;PB;1996;0
41;PR;1996;0
26;PE;1996;0
22;PI;1996;0
33;RJ;1996;0
24;RN;1996;0
43;RS;1996;0
11;RO;1996;0
14;RR;1996;0
42;SC;1996;0
35;SP;1996;1.05502696
28;SE;1996;0
17;TO;1996;0
12;AC;1997;0
27;AL;1997;0.736110063
16;AP;1997;4.522226744
13;AM;1997;1.386981789
29;BA;1997;0.247654097
23;CE;1997;0.656422106
53;DF;1997;2.009856335
32;ES;1997;2.265554091
52;GO;1997;1.149778049
21;MA;1997;1.344099571
51;MT;1997;4.047529561
50;MS;1997;0
31;MG;1997;1.059487865
15;PA;1997;0.495734207
25;PB;1997;0.117716027
41;PR;1997;0.999053951
26;PE;1997;2.15117128
22;PI;1997;1.160393451
33;RJ;1997;5.712139256
24;RN;1997;2.06404029
43;RS;1997;3.279084225
11;RO;1997;4.561471531
14;RR;1997;3.020053153
42;SC;1997;0.518689014
35;SP;1997;2.029138278
28;SE;1997;1.638529474
17;TO;1997;2.080703555
12;AC;1998;1.510459935
27;AL;1998;1.403479225
16;AP;1998;4.415595885
13;AM;1998;0.630946672
29;BA;1998;0.189384135
23;CE;1998;0.989822822
53;DF;1998;2.571802755
32;ES;1998;3.271458163
52;GO;1998;0.998904535
21;MA;1998;0.767551602
51;MT;1998;5.147936013
50;MS;1998;0.511087185
31;MG;1998;1.227720375
15;PA;1998;2.319260063
25;PB;1998;0.787106152
41;PR;1998;3.20957892
26;PE;1998;3.610729644
22;PI;1998;1.579484393
33;RJ;1998;4.591469459
24;RN;1998;1.55225873
43;RS;1998;3.149473072
11;RO;1998;5.590766087
14;RR;1998;10.19506559
42;SC;1998;1.895595756
35;SP;1998;4.21891563
28;SE;1998;0.986894047
17;TO;1998;3.167589227
25;PB;1999;1.450577162
17;TO;1999;1.902056757
28;SE;1999;3.651157939
35;SP;1999;4.612519036
