cod;nome;período;valor
12;AC;1996;0
27;AL;1996;0
16;AP;1996;0
13;AM;1996;0
29;BA;1996;0
23;CE;1996;0
53;DF;1996;0
32;ES;1996;0
52;GO;1996;0
21;MA;1996;0
51;MT;1996;0
50;MS;1996;0
31;MG;1996;0
15;PA;1996;0
25;PB;1996;0
41;PR;1996;0
26;PE;1996;0
22;PI;1996;0
33;RJ;1996;0
24;RN;1996;0
43;RS;1996;0
11;RO;1996;0
14;RR;1996;0
42;SC;1996;0
35;SP;1996;0.598429571
28;SE;1996;0
17;TO;1996;0
12;AC;1997;2.74521646
27;AL;1997;0.933292891
16;AP;1997;5.160605413
13;AM;1997;3.832845029
29;BA;1997;0.226322128
23;CE;1997;0.794125063
53;DF;1997;6.260198065
32;ES;1997;2.654649951
52;GO;1997;1.325196626
21;MA;1997;0.883869384
51;MT;1997;3.748834601
50;MS;1997;0
31;MG;1997;1.535787693
15;PA;1997;1.986076739
25;PB;1997;0.890818005
41;PR;1997;0.380064117
26;PE;1997;1.582172254
22;PI;1997;0.706713781
33;RJ;1997;10.93069678
24;RN;1997;1.329845592
43;RS;1997;3.656789625
11;RO;1997;1.732044115
14;RR;1997;3.478079405
42;SC;1997;0.60098682
35;SP;1997;3.469163729
28;SE;1997;0.446653892
17;TO;1997;1.004929178
12;AC;1998;0.902510785
27;AL;1998;2.19941349
16;AP;1998;7.130463718
13;AM;1998;6.741027692
29;BA;1998;0.486397193
23;CE;1998;0.446798667
53;DF;1998;7.226336677
32;ES;1998;4.201443458
52;GO;1998;0.994259807
21;MA;1998;0.87756505
51;MT;1998;6.458352053
50;MS;1998;0.471998678
31;MG;1998;2.27353885
15;PA;1998;3.880380795
25;PB;1998;0.504514395
41;PR;1998;2.12890521
26;PE;1998;2.902543745
22;PI;1998;1.099788382
33;RJ;1998;9.096256587
24;RN;1998;0.825230357
43;RS;1998;4.250152651
11;RO;1998;3.193357816
14;RR;1998;13.66825623
42;SC;1998;0.894710472
35;SP;1998;7.88298683
28;SE;1998;0.753101649
17;TO;1998;2.834219421
25;PB;1999;0.790989947
17;TO;1999;2.218612184
28;SE;1999;1.678965086
35;SP;1999;8.425573251
