cod;nome;período;valor
2201919;"Bom Princípio do Piauí";2015;0,00
2201988;"Brejo do Piauí";2015;0,00
2202251;Canavieira;2015;25,61
2611533;Quixaba;2015;14,66
3117836;"Cônego Marinho";2015;0,00
3152131;"Ponto Chique";2015;0,00
5203939;"Buriti de Goiás";2015;0,00
5203962;Buritinópolis;2015;29,46
1100015;"Alta Floresta D'Oeste";2015;35,19
1100023;Ariquemes;2015;47,89
1100031;Cabixi;2015;0,00
1100049;Cacoal;2015;27,51
1100056;Cerejeiras;2015;11,12
1100064;"Colorado do Oeste";2015;10,63
1100072;Corumbiara;2015;22,62
1100080;"Costa Marques";2015;18,02
1100098;"Espigão D'Oeste";2015;18,53
1100106;Guajará-Mirim;2015;12,87
1100114;Jaru;2015;28,71
1100122;Ji-Paraná;2015;22,24
1100130;"Machadinho D'Oeste";2015;53,81
1100148;"Nova Brasilândia D'Oeste";2015;23,16
1100155;"Ouro Preto do Oeste";2015;7,51
1100189;"Pimenta Bueno";2015;29,32
1100205;"Porto Velho";2015;41,37
1100254;"Presidente Médici";2015;4,43
1100262;"Rio Crespo";2015;26,67
1100288;"Rolim de Moura";2015;14,22
1100296;"Santa Luzia D'Oeste";2015;0,00
1100304;Vilhena;2015;58,82
1100320;"São Miguel do Guaporé";2015;20,89
1100338;"Nova Mamoré";2015;25,36
1100346;"Alvorada D'Oeste";2015;11,72
1100379;"Alto Alegre dos Parecis";2015;35,87
1100403;"Alto Paraíso";2015;29,69
1100452;Buritis;2015;76,64
1100502;"Novo Horizonte do Oeste";2015;29,19
1100601;Cacaulândia;2015;15,71
1100700;"Campo Novo de Rondônia";2015;21,10
1100809;"Candeias do Jamari";2015;66,24
1100908;Castanheiras;2015;0,00
1100924;Chupinguaia;2015;49,36
1100940;Cujubim;2015;19,07
1101005;"Governador Jorge Teixeira";2015;19,75
1101104;"Itapuã do Oeste";2015;30,02
1101203;"Ministro Andreazza";2015;64,68
1101302;"Mirante da Serra";2015;24,27
1101401;"Monte Negro";2015;113,40
1101435;"Nova União";2015;25,56
1101450;Parecis;2015;17,55
1101468;"Pimenteiras do Oeste";2015;0,00
1101476;"Primavera de Rondônia";2015;28,56
1101484;"São Felipe D'Oeste";2015;0,00
1101492;"São Francisco do Guaporé";2015;31,58
1101500;Seringueiras;2015;0,00
1101559;Teixeirópolis;2015;0,00
1101609;Theobroma;2015;17,63
1101708;Urupá;2015;0,00
1101757;"Vale do Anari";2015;0,00
1101807;"Vale do Paraíso";2015;12,15
1200013;Acrelândia;2015;21,63
1200054;"Assis Brasil";2015;14,84
1200104;Brasiléia;2015;12,58
1200138;Bujari;2015;53,54
1200179;Capixaba;2015;38,10
1200203;"Cruzeiro do Sul";2015;15,95
1200252;Epitaciolândia;2015;17,93
1200302;Feijó;2015;30,88
1200328;Jordão;2015;13,32
1200336;"Mâncio Lima";2015;23,29
1200344;"Manoel Urbano";2015;11,57
1200351;"Marechal Thaumaturgo";2015;5,92
1200385;"Plácido de Castro";2015;27,53
1200393;"Porto Walter";2015;0,00
1200401;"Rio Branco";2015;34,00
1200427;"Rodrigues Alves";2015;11,78
1200435;"Santa Rosa do Purus";2015;17,21
1200450;"Senador Guiomard";2015;42,49
1200500;"Sena Madureira";2015;23,95
1200609;Tarauacá;2015;25,76
1200708;Xapuri;2015;11,36
1200807;"Porto Acre";2015;17,90
1300029;Alvarães;2015;6,43
1300060;Amaturá;2015;0,00
1300086;Anamã;2015;0,00
1300102;Anori;2015;10,37
1300144;Apuí;2015;24,22
1300201;"Atalaia do Norte";2015;0,00
1300300;Autazes;2015;29,70
1300409;Barcelos;2015;65,61
1300508;Barreirinha;2015;3,26
1300607;"Benjamin Constant";2015;17,73
1300631;Beruri;2015;0,00
1300680;"Boa Vista do Ramos";2015;11,32
1300706;"Boca do Acre";2015;17,91
1300805;Borba;2015;15,27
1300839;Caapiranga;2015;8,05
1300904;Canutama;2015;0,00
1301001;Carauari;2015;10,76
1301100;Careiro;2015;10,98
1301159;"Careiro da Várzea";2015;0,00
1301209;Coari;2015;34,91
1301308;Codajás;2015;3,73
1301407;Eirunepé;2015;32,33
1301506;Envira;2015;15,97
1301605;"Fonte Boa";2015;9,64
1301654;Guajará;2015;37,91
1301704;Humaitá;2015;9,75
1301803;Ipixuna;2015;3,72
1301852;Iranduba;2015;47,84
1301902;Itacoatiara;2015;22,65
1301951;Itamarati;2015;12,23
1302009;Itapiranga;2015;22,34
1302108;Japurá;2015;0,00
1302207;Juruá;2015;15,15
1302306;Jutaí;2015;0,00
1302405;Lábrea;2015;6,93
1302504;Manacapuru;2015;33,98
1302553;Manaquiri;2015;3,52
1302603;Manaus;2015;54,92
1302702;Manicoré;2015;15,08
1302801;Maraã;2015;16,28
1302900;Maués;2015;16,67
1303007;Nhamundá;2015;4,91
1303106;"Nova Olinda do Norte";2015;28,44
1303205;"Novo Airão";2015;28,29
1303304;"Novo Aripuanã";2015;12,34
1303403;Parintins;2015;11,65
1303502;Pauini;2015;10,32
1303536;"Presidente Figueiredo";2015;60,95
1303569;"Rio Preto da Eva";2015;32,75
1303601;"Santa Isabel do Rio Negro";2015;4,46
1303700;"Santo Antônio do Içá";2015;4,22
1303809;"São Gabriel da Cachoeira";2015;11,60
1303908;"São Paulo de Olivença";2015;5,47
1303957;"São Sebastião do Uatumã";2015;0,00
1304005;Silves;2015;22,02
1304062;Tabatinga;2015;34,41
1304104;Tapauá;2015;5,51
1304203;Tefé;2015;6,41
1304237;Tonantins;2015;16,24
1304260;Uarini;2015;7,62
1304302;Urucará;2015;5,83
1304401;Urucurituba;2015;23,65
1400027;Amajari;2015;27,26
1400050;"Alto Alegre";2015;136,00
1400100;"Boa Vista";2015;37,42
1400159;Bonfim;2015;34,07
1400175;Cantá;2015;37,15
1400209;Caracaraí;2015;103,65
1400233;Caroebe;2015;43,64
1400282;Iracema;2015;58,14
1400308;Mucajaí;2015;42,74
1400407;Normandia;2015;9,85
1400456;Pacaraima;2015;8,40
1400472;Rorainópolis;2015;21,99
1400506;"São João da Baliza";2015;0,00
1400605;"São Luiz";2015;13,50
1400704;Uiramutã;2015;10,54
1500107;Abaetetuba;2015;50,52
1500131;"Abel Figueiredo";2015;42,10
1500206;Acará;2015;46,24
1500305;Afuá;2015;5,35
1500347;"Água Azul do Norte";2015;11,40
1500404;Alenquer;2015;7,32
1500503;Almeirim;2015;20,98
1500602;Altamira;2015;105,18
1500701;Anajás;2015;3,63
1500800;Ananindeua;2015;69,65
1500859;Anapu;2015;55,09
1500909;"Augusto Corrêa";2015;4,58
1500958;"Aurora do Pará";2015;33,91
1501006;Aveiro;2015;25,07
1501105;Bagre;2015;10,60
1501204;Baião;2015;11,43
1501253;Bannach;2015;122,44
1501303;Barcarena;2015;51,82
1501402;Belém;2015;60,78
1501451;Belterra;2015;0,00
1501501;Benevides;2015;63,10
1501576;"Bom Jesus do Tocantins";2015;30,81
1501600;Bonito;2015;26,17
1501709;Bragança;2015;28,80
1501725;"Brasil Novo";2015;93,43
1501758;"Brejo Grande do Araguaia";2015;55,31
1501782;"Breu Branco";2015;42,47
1501808;Breves;2015;15,27
1501907;Bujaru;2015;28,89
1501956;"Cachoeira do Piriá";2015;19,17
1502004;"Cachoeira do Arari";2015;13,36
1502103;Cametá;2015;9,93
1502152;"Canaã dos Carajás";2015;80,28
1502202;Capanema;2015;27,13
1502301;"Capitão Poço";2015;36,06
1502400;Castanhal;2015;65,34
1502509;Chaves;2015;4,43
1502608;Colares;2015;8,56
1502707;"Conceição do Araguaia";2015;23,71
1502756;"Concórdia do Pará";2015;28,71
1502764;"Cumaru do Norte";2015;24,15
1502772;Curionópolis;2015;50,82
1502806;Curralinho;2015;9,30
1502855;Curuá;2015;7,37
1502905;Curuçá;2015;29,10
1502939;"Dom Eliseu";2015;30,14
1502954;"Eldorado dos Carajás";2015;64,29
1503002;Faro;2015;0,00
1503044;"Floresta do Araguaia";2015;46,73
1503077;"Garrafão do Norte";2015;35,54
1503093;"Goianésia do Pará";2015;42,13
1503101;Gurupá;2015;9,49
1503200;Igarapé-Açu;2015;32,14
1503309;Igarapé-Miri;2015;58,00
1503408;Inhangapi;2015;27,14
1503457;"Ipixuna do Pará";2015;30,74
1503507;Irituia;2015;28,43
1503606;Itaituba;2015;58,92
1503705;Itupiranga;2015;57,94
1503754;Jacareacanga;2015;9,64
1503804;Jacundá;2015;37,50
1503903;Juruti;2015;9,26
1504000;"Limoeiro do Ajuru";2015;0,00
1504059;"Mãe do Rio";2015;13,81
1504109;"Magalhães Barata";2015;12,08
1504208;Marabá;2015;76,69
1504307;Maracanã;2015;13,96
1504406;Marapanim;2015;43,85
1504422;Marituba;2015;76,47
1504455;Medicilândia;2015;76,96
1504505;Melgaço;2015;7,58
1504604;Mocajuba;2015;27,21
1504703;Moju;2015;72,37
1504752;"Mojuí dos Campos";2015;45,32
1504802;"Monte Alegre";2015;3,55
1504901;Muaná;2015;5,27
1504950;"Nova Esperança do Piriá";2015;38,72
1504976;"Nova Ipixuna";2015;63,15
1505007;"Nova Timboteua";2015;20,50
1505031;"Novo Progresso";2015;127,31
1505064;"Novo Repartimento";2015;52,23
1505106;Óbidos;2015;9,91
1505205;"Oeiras do Pará";2015;0,00
1505304;Oriximiná;2015;7,24
1505403;Ourém;2015;11,69
1505437;"Ourilândia do Norte";2015;35,74
1505486;Pacajá;2015;67,00
1505494;"Palestina do Pará";2015;26,94
1505502;Paragominas;2015;62,61
1505536;Parauapebas;2015;61,08
1505551;"Pau D'Arco";2015;0,00
1505601;Peixe-Boi;2015;12,70
1505635;Piçarra;2015;31,56
1505650;Placas;2015;14,02
1505700;"Ponta de Pedras";2015;6,86
1505809;Portel;2015;17,16
1505908;"Porto de Moz";2015;2,60
